Heidi Heitkamp,"[156, 782]"
National Republican Congressional Committee,"[151, 454]"
World Animal Protection USA,"[137, 686]"
The Lone Liberal Republican,"[133, 265]"
Jim W. Horner for District Attorney General,"[130, 649]"
Giving Brush,"[124, 622]"
ReBuild USA,"[109, 543]"
United States Constitution,"[99, 197]"
Jason A. Olson for Circuit Judge,"[93, 465]"
Bill Nelson,"[76, 250]"
World Vision USA,"[71, 141]"
Indivisible Guide,"[70, 140]"
AFSCME Council 31,"[68, 342]"
Planned Parenthood Action,"[68, 136]"
Laura Kelly,"[63, 316]"
Making Every Vote Count,"[61, 344]"
I Love My Freedom,"[47, 237]"
Finance Watchdogs,"[46, 256]"
Mike Coffman,"[40, 202]"
Christian Democrats of America,"[36, 180]"
Beto O'Rourke,"[35, 177]"
Confederacy of Drones,"[34, 172]"
Kansas Leadership Center,"[32, 160]"
Global March for Elephants and Rhinos,"[32, 159]"
Liberty Justice Center,"[31, 155]"
Politicon,"[30, 162]"
Teamsters Joint Council 10,"[28, 141]"
45th President Donald J. Trump,"[26, 151]"
CRTV Tonight with Gavin McInnes,"[26, 128]"
Democratic Party,"[25, 46128]"
Scamazon,"[25, 125]"
Sand Cloud,"[22, 131]"
POW Action Fund,"[22, 112]"
Greenpeace USA,"[19, 144]"
Dissent Pins,"[18, 89]"
Democrats,"[17, 86]"
Congressional Leadership Fund,"[17, 63]"
LCV Victory Fund,"[14, 113]"
AARP Arkansas,"[11, 57]"
Human Rights Campaign,"[11, 56]"
James Ramos for Assembly,"[11, 23]"
Elizabeth Warren,"[10, 68]"
Planned Parenthood,"[10, 51]"
Al Muratsuchi for Assembly,"[9, 45]"
Anthony Brindisi For Congress,"[9, 44]"
ACLU of Northern California,"[7, 33]"
Yes On 793,"[5, 26]"
Sharice for Congress,"[4, 230]"
Carlos Rodriguez,"[4, 20]"
Jim Webb for Bentonville Mayor,"[4, 9]"
Re-elect Mayor Tom Butt,"[3, 16]"
"Richard Hilderbrand - Kansas State Senator, 13th District","[3, 15]"
