,2161872
Judicial Crisis Network ,1505000
By Friends of Troy King, PO Box 240818, Mongtomery, AL,857000
Walt Maddox for Governor,794865
Twinkle for Alabama,691922
Friends of Will Ainsworth  7520 Browns Valley Rd. Guntersville, AL 35976,532000
The Southern Environmental Law Center ,506158
Friends of Will Ainsworth. 7520 Browns Valley Rd, Guntersville, AL 35976,423000
Kay Ivey for Governor, Inc.,411000
Scott Dawson for Governor, Inc.,408961
Friends of Tabitha Isner,326628
Coalition to Build the Bridge to the Beach,307785
Friends of Alli Summerford,301999
Ten Commandments Amendment PAC, PO Box 1762, Orange Beach AL  36561,298996
Garlan Gudger for State Senate 314 2nd Ave SE, Cullman, AL 35055,287994
Americans For Prosperity,281133
Mallory Hagan for Congress,277318
Luther Pate,230000
Chris Elliot for State Senate,200967
Dial for Ag & Industry. PO Box 248 Lineville, AL 36266,198954
Johnny Mack Morrow For State Senate,151000
Jeremy Oden for Public Service Commissioner,149546
Friends To Elect Lashunda Scales For Jefferson Commission 1,145000
Lee Auman for United States Congress,144965
Committee to Elect Judge Sarah Stewart 2029B Airport Blvd #206 Mobile, AL 36606,135000
Willie Gray for AL House 102,125807
the campaign to re-elect Senator David Burkette,116000
Stop the Home Tax PAC, PO Box 2445, Muscle Shoals, AL 35662,114000
DoSomething,113925
David Hill Committee,113000
Paul Bussman for State Senate,112000
Cullman Today Advertising Dept.,110000
Nick Smith for Sheriff of Walker County • 758 Saragossa Rd • Nauvoo, AL 35578,104895
Carl Carter for Alabama Senate 11,104000
MO Research, Inc.,101611
Caroline Self for Senate, PO Box 714, Florence, AL 35631,100508
Winning for Women, Inc.,91963
Gary Palmer for Congress,91000
The Committee to Re-elect Judge David Kimberley,86000
Mark Moon for Blount County Sheriff, 200 Greystone Dr. Oneonta, AL 35121,86000
Chris McCool for Criminal Appeals PO Box 281 Reform, AL 35481,83000
Congresswoman Terri Sewell,80000
Friends of Tom Whatley for State Senate,76000
Friends of Andrew Jones  690 County Road 202 | Centre, AL 35960,76000
James B Chapman for Sheriff Campaign,73000
Committee to Elect Kyle Pierce, PO Box 787, Attalla, AL 35954,73000
Southern Poverty Law Center,72139
Trump Train News,70000
Rhett Marques for State Representative, 105 Marshwood Place, Enterprise, AL 36330,70000
Andrew Sorrell Campaign Committee, PO BOX 2876, Muscle Shoals, AL 35662,65974
Committee to elect George Zoghby, P.O. Box 817-0817, Mobile, AL 36601,56000
Cannon Dement for Auburn,56000
Sewell For Congress,55000
Joanne Whetstone for House District 90 ,55000
John McMillan for Treasurer,54065
Committee to Elect Kyle Brown,53140
Americans for Prosperity,51134
the Trump Make America Great Again Committee,50312
The Committee to Elect Matt Fridy,50000
Committee to Elect Charles Elliott, P.O. Box 922, Decatur, AL 35602,50000
Alabama Political Reporter,50000
Congressman Mo Brooks,49842
Elect Stephen Evans 2932 Ross Clark Circle PMB 339 Dothan, AL 36301,49090
NeSmith Immigration Attorneys,49000
Lister Reeves for State Representative 200 Savannah Drive Enterprise, AL 36330,49000
Paid for by the Neighbors of Frances Akridge,46957
Sean Heileman,42766
Parker Griffith 101 Lowe Ave. Suite 3A Huntsville, Al. 35801,41000
Craig Lipscomb 30, PO Box 1536, Gadsden, AL 35902,40000
Friends of Tucker Dorsey,39971
the NRCC and not authorized by any candidate or candidate's committee.,38703
The Explore Offshore Coalition,38258
BlackPAC and not authorized by any candidate or candidate’s committee.,38000
The Auto Alliance,37000
Friends of Ron Anders,36988
Craig Ford Campaign,36783
Committee to Elect Will Motlow Probate Judge P.O. Box 569 Florence, AL 35631,36000
When We All Vote,35640
Committee to Elect Neil Rafferty P.O. Box 321579 Birmingham, Alabama 35232,35000
the Committee to Elect Joe Davis,32582
TZ Insurance Solutions,32000
THE COMMITTEE TO ELECT WILSON HALE SHERIFF P.O. BOX 10925 BIRMINGHAM, AL 35202,32000
Committee to Elect Phil Andrews, 2449 Colburn Mountain Rd. Tuscumbia, AL 35674 ,30971
45 Hats,30558
Campaign To Vote Mike Cole For Sheriff Of Walker County 2018,29963
PragerU ,28513
the Committee to Elect Carolyn Parker, 2600 E. Meighan Blvd., Gadsden, AL 35903,27000
Williams for Senate 34,27000
