ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,4061016
Dr. Jeff Colyer for Governor, Howard Wizig, Treasurer,3713644
Congressional Leadership Fund,2846400
Kansans for Kobach, Bob Dool, Treasurer.,1575540
Yoder for Congress, Inc.,1185196
Schwab for SOS, Debra Edler, Treasurer,1016000
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,1000000
DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. ,862419
Blueprint Kansas, Inc.,826301
Brian McClendon for Kansas Committee,765638
Kansans for Selzer, Inc.,747637
WOMEN VOTE!,510834
the Committee to Elect Caldwell for Kansas, Treasurer Jason Conley,453156
Barnett for Governor. Ronald Ramberg Treasurer.,429795
News For Democracy,363215
James Thompson for Kansas,356164
,329669
Vicki Schmidt for Insurance Commissioner, Brad Koehn, CPA, Treasurer,300000
Sharice for Congress,297635
Estes for Congress,284950
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,232000
The Nature Conservancy,231007
NumbersUSA,226081
MO Research, Inc.,224992
Kansans for LaTurner,188280
Arden Andersen Campaign, Arden Andersen Treasurer, PO Box 274 Olathe, KS 66051,179000
Kansas Chamber PAC, Jennifer Baysinger, Treasurer,174983
Community Health Council of Wyandotte County,172000
Caryn for Congress, Inc.,171806
Joseph, Hollander & Craft Law Firm,168142
Alliance for a Healthy Kansas,154000
Paul Davis for Kansas,134923
Svaty for Kansas, Shirley Jacques, Treasurer,112842
Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.,110000
Stand Up Blue Valley, Inc. Heather Lancaster, Treasurer,105737
Kansans for a Conservative Future,105000
SOLAR ENERGY TODAY,97016
Pyle for Congress,91878
Concannon For Kansas, Tamarah Pruitt, Treasurer,89999
America First Policies,88630
Schmidt for Attorney General, Inc., Gary C. Allerheiligen, Treasurer,84795
Laura Kelly for Kansas, David Toland, Treasurer,82000
Trust Women,80290
Kevin Jones for Congress, Inc.,73964
NRATV,72662
Scott Anderson for Judge, Andrea Riffel Treasurer,72000
Kansas Strong,70981
Kansas Hospital Association,70649
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,68744
Becker For Representative, Vicky Kloeppner, Treasurer,64999
Brent Welder for Congress,63255
Humane Society Legislative Fund,61000
DoSomething,60117
Good for Kansas, Kyle Good, Treasurer,51999
Connect Americans Now.,47827
Kansas Democratic Party,47710
Nicks for County Commission, Jim Hand, Treasurer,45000
Fitzgerald for Congress, Inc.,41970
Johnson County, Kansas Democratic Party,40586
the Campaign to Elect Stephen Owens, Gloria Arellano Treasurer,38000
Haulmark for Kansas - Kaitlin Neiger, Campaign Treasurer,37817
Jay Sidie for Congress,35241
Hoheisel for Kansas, Misti Hoheisel Treasurer,27000
Jim Skelton for County Commission, Dion Avello Treasurer,25000
Fairchild For Freedom/Joe Fritzemeyer Treasurer,24000
Kansas Appleseed,23455
Americans For Prosperity,22998
Mike for Kansas Campaign Committee,22966
Kobach is WRONG for Kansas PAC,22000
J.C. Moore, Candidate, and Janice Johnson, Treasurer,22000
the Trump Make America Great Again Committee,21944
Kansas State Rifle Association PAC; Moriah Day, Chair,21000
Hoffman for Senate, Rod Hoffman, Treasurer.,21000
Vote Yes for Leavenworth Schools, Judi Price, Treasurer,20000
National Wildlife Federation Action Fund,20000
Laura for Kansas,20000
A Stronger Dotte, Denise Tomasic, Treasurer,20000
David Lowden for Judge, Lars Stamp, Treasurer,19000
Cruse for Sedgwick County, Prism Carnal, Treasurer,19000
the ACLU,18125
Jim Howell for County Commission, Preston Madding Treasurer,18000
Planned Parenthood Federation of America,17601
The Auto Alliance,17000
TZ Insurance Solutions,16000
Estabrook for Commission, Scott Seel Treasurer ,16000
#VoteTogether,15243
Pam Luthi Insurance Solutions LLC,15000
Kansas Farm Bureau, VOTE FBF,15000
Kansans for Life PAC; Claire Schulte, Treasurer,15000
Lee White,14837
the NRCC and not authorized by any candidate or candidate's committee.,14458
Need to Impeach,14280
PragerU ,13105
NRA,12894
Elliott Adams for Senate Committee, Elliott Adams Treasurer,12781
Kansans for Duncan, Leeann Hearl O'Connor, Treasurer.,12000
Deann Mitchell 4 Kansas, Greg Mitchell Treasurer,12000
Blaine Finch for Kansas House, Robert Greenfield, Treasurer,12000
Respect Kansas (KS-PAC),11000
Hanzlick for County Commission. Jay Lehnertz, Treasurer.,11000
Citizens for A Better Leavenworth,11000
Housing For All,10922
4Ocean, LLC,10383
Concerned Veterans for America,10005
Kristy for Kansas, Shelee Brim, Treasurer,10000
Comedy Central,9823
Sylvia Williams For Congress,9816
W.K. Kellogg Foundation,9457
Patrick Kelly for Douglas County, Michel Loomis, Treasurer,9000
Cindy Neighbor for Kansas - Jeff Meyers, Treasurer.,8894
Turning Point USA,8646
Eric Mikkelson for Mayor. Brendon Jenks, Treasurer.,8483
AAF Nation, LLC,8360
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,8183
IVN News,8106
NRDC,7814
Webinar Technologies,7329
Family Research Council,7063
Kansans for LaTurner, Doug Hill, Treasurer,7000
John W. Carlin,7000
Committee to Elect Serena Schermoly for Mayor, Treasurer Shelly Trewolla,7000
Becky for Johnson County, Treasurer Tanya Keys,7000
Sierra Club,6439
Donald J. Trump for President, Inc.,6211
Kansans for Fred Patton, Mike Lesser, Treasurer.,6000
Jim Price for Kansas,6000
Eileen For Kansas, Doni Mooberry, Treasurer,6000
Barker 4 Kansas,6000
ExxonMobil,5764
Concealed Online,5567
Friends of Crystal Williams,5393
NCADA,5052
Hoover Institution,5044
Woods for Judge, T Chet Compton Treasurer,5000
Woodard for Kansas. Shabina Kavimandan, Treasurer.,5000
Monica for Kansas | Don Noland, Treasurer,5000
Committee to Elect Rob Hodgkinson,5000
Ward for Kansas, Zach Ward Treasurer.,4964
Southeast Kansas United for Justice and Freedom,4855
End Citizens United Nonfederal,4679
Beto for Texas,4472
Zen Brands International, LLC,4367
the National League of Cities,4255
Rui Xu for Kansas | Brad Harris Treasurer,4238
National Rural Electric Association,4059
Jeff Pittman Campaign,4000
the National Mining Association,3757
Keep and Bear,3496
Mike Hunter for Attorney General 2018,3459
Elizabeth for MA,3405
WeThePeopleHolsters ,3391
Boredom Therapy LLC,3354
The Committee to Elect LeSean Tarkington Kansas State Representative Coenell Hill, Treasurer ,3169
Cort Vanostran for Congress,3113
Stephanie Meyer for Shawnee, Sam Hawkins, Treasurer.,3000
Pete Meitzner for Sedgwick County, Brad Schreck, Treasurer,3000
Palmer for Commissioner, John Hutton Treasurer,3000
Marci for Kansas Treasurer, Michael Delaney, Treasurer,3000
Ken Collins for Second District Kansas State Representative-Ken Collins, Treasurer,3000
Hanna For KS, Mary Williams-Tresurer,3000
"Young for Kansas" - Anne Kobbermann, Treasurer,3000
Kellie Warren for Kansas, Doug Patterson, Treasurer,2998
Sandy Hook Promise,2995
Daily Wire,2935
FCTRY,2875
Proud Right Winger,2838
Human Rights Campaign,2831
McCaskill for Missouri,2821
Baker for House, Lisa Ronnebaum, Treasurer,2744
FirstQuoteHealth,2668
Jerry Hill,                     Treasurer Tim Peterson, 2016 Cedar Crest, Monument, KS 67747,2614
Conservative Gear,2593
Prophecy News Watch,2586
Kamala Harris for Senate,2575
DC Statesman,2526
Becky for Johnson County Commission, Treasurer Tanya Keys,2515
Kinder World,2366
Gillibrand for Senate,2308
Hulu,2280
State Run Films,2145
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,2099
Greg Palast,2086
The Years Project,2052
TCS Upfitting,2000
Secretariat of Economy (Mexico),2000
James Hannon for Kansas Board of Education, 7th District,2000
Gerrett Morris for State Representative, Janice Morris, Treasurer.,2000
Dan Harms for County Commission,2000
"Kansans for Thacker" - Karmell Thacker, Treasurer,2000
Johnson County Democratic Women South,1921
UPROXX,1918
Wheatland Electric ,1870
the Greater Kansas City Women's Political Caucus,1858
