Judge Michael E. Vigil,"[210000, 549998]"
Representative Stephanie Garcia Richard,"[202000, 511995]"
Mick Rich,"[87000, 420988]"
Our Western Values,"[61000, 155996]"
Save the Children Action Network,"[60000, 150997]"
Protect Freedom PAC,"[40000, 199996]"
Day Hochman-Vigil for NM House District 15,"[26000, 114996]"
Solar Energy Today,"[16000, 49992]"
Wayne Johnson For State Auditor,"[10000, 49999]"
W.K. Kellogg Foundation,"[10000, 49999]"
Ride the Blue Bus,"[10000, 49999]"
Living Free,"[9995, 49973]"
Our Flag Our Country,"[9994, 49970]"
Heritage Action for America,"[9971, 49852]"
Judge Emil Kiehne for New Mexico Court of Appeals,"[6833, 58135]"
The Holy Tribune,"[5000, 9999]"
Military Network,"[4997, 10992]"
Martin Heinrich,"[4000, 21994]"
Mark McDonald for NM State Representative,"[4000, 19996]"
Representative Rebecca Dow,"[3996, 19976]"
New Mexico Oil & Gas,"[3000, 17994]"
Tom Steyer,"[2368, 6128]"
MTC Changes Lives,"[2000, 9998]"
Indivisible Guide,"[1067, 2155]"
Democratic Party of New Mexico,"[1000, 9994]"
Voters Decide,"[1000, 8993]"
Republican Party of SJCNM,"[1000, 7996]"
Young Democrats of New Mexico,"[1000, 4999]"
Planned Parenthood Votes New Mexico,"[1000, 4999]"
New Energy Economy,"[1000, 4999]"
Melanie Stansbury for NM,"[1000, 4999]"
Diné Equality,"[1000, 4999]"
Ben R. Luján,"[1000, 4999]"
Backcountry Hunters & Anglers,"[1000, 4999]"
Progressive Turnout Project,"[483, 967]"
Donald J. Trump,"[244, 7509]"
Concealed Online,"[143, 771]"
Heidi Heitkamp,"[133, 576]"
We The People Holsters,"[114, 571]"
I Love My Freedom,"[88, 438]"
Angie Craig,"[86, 429]"
Democrats,"[81, 396]"
Beto O'Rourke,"[81, 162]"
Tony Evers,"[76, 378]"
Arizona Democratic Legislative Campaign Committee,"[56, 112]"
Color Of Change,"[46, 93]"
Human Rights Campaign,"[44, 207]"
Convention of States,"[42, 209]"
Penzeys Spices,"[39, 195]"
The Andrew Klavan Show,"[39, 78]"
Local Majority,"[30, 150]"
45th President Donald J. Trump,"[29, 83]"
The Atlas Society,"[28, 55]"
AARP Advocates,"[25, 49]"
VoteTogether,"[23, 1045]"
Finance Watchdogs,"[18, 95]"
American AF,"[17, 86]"
Sand Cloud,"[17, 45]"
Dr. Donna Campbell,"[16, 78]"
Bill Nelson,"[14, 80]"
Kate Brophy McGee - State Senate,"[14, 27]"
CARE,"[13, 307]"
Tammy Baldwin,"[13, 94]"
Making Every Vote Count,"[12, 61]"
Independent Voter,"[12, 25]"
National Republican Congressional Committee,"[10, 448]"
Marsha Holland,"[8, 98]"
Politicon,"[8, 88]"
Voz Boricua,"[8, 15]"
Planned Parenthood,"[7, 184]"
Mac Schneider,"[7, 37]"
Everytown for Gun Safety,"[7, 35]"
Energy Citizens,"[7, 34]"
Patriot Depot,"[7, 33]"
Swing Left,"[6, 95]"
USA for UNHCR,"[6, 38]"
Sudan Relief Fund,"[6, 31]"
Rob Davidson for Congress,"[5, 26]"
Shield Republic,"[5, 23]"
Environmental Defense Fund,"[4, 31]"
Conservative Gear,"[4, 21]"
James Ramos for Assembly,"[4, 19]"
Bird + Stone,"[4, 18]"
Diane Mitsch Bush for Colorado CD3,"[4, 8]"
The Right Way,"[3, 15]"
New Yorkers Together,"[2, 11]"
Protect CA Health Care,"[1, 6]"
E. Michael Isaak for Judge,"[1, 6]"
Mary Jane Caylor for City Council,"[1, 5]"
Frank LaRose,"[1, 5]"
David Chiu,"[1, 5]"
Laura Kelly,"[1, 4]"
Bob Weiner,"[1, 4]"
Zahra Karinshak,"[1, 3]"
Dave Yost,"[1, 2]"
Democratic Party,"[0, 11880]"
Power In Cooperation,"[0, 4329]"
New Mexico Democrats for Democracy,"[0, 2997]"
Lisafor43,"[0, 2997]"
Committee to Elect Elizabeth Allen for Municipal Judge,"[0, 2997]"
Benton Howell,"[0, 2997]"
Vote Christopher P Schoonover County Assessor,"[0, 1998]"
Kyrsten Sinema,"[0, 1052]"
Two Broads Talking Politics Podcast,"[0, 999]"
Mercy For Animals,"[0, 999]"
MedicareSupplement.com,"[0, 999]"
MoveOn,"[0, 387]"
Trump Store,"[0, 333]"
Americans for Farmers & Families,"[0, 333]"
Jonathan Nez for Navajo Nation President,"[0, 281]"
Chris Pappas for Congress,"[0, 142]"
Ocean Conservancy,"[0, 98]"
EMILY's List,"[0, 64]"
Chris Murphy,"[0, 62]"
National Network of Abortion Funds,"[0, 50]"
Greenpeace USA,"[0, 45]"
Conservation International,"[0, 43]"
LCV Victory Fund,"[0, 42]"
Pfizer,"[0, 41]"
Exclusive Apparel,"[0, 29]"
Joe Kennedy III,"[0, 25]"
Adam Schiff,"[0, 25]"
Jake Brown for Mesa,"[0, 23]"
Jordan for Governor,"[0, 22]"
Askov Finlayson,"[0, 22]"
CREDO Mobile,"[0, 20]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 19]"
Lupe Valdez,"[0, 16]"
Catholic Relief Services,"[0, 16]"
Working Families Party,"[0, 15]"
Divided We Stand,"[0, 15]"
Cooperative Action Network,"[0, 15]"
Mercy Corps,"[0, 12]"
Giving Brush,"[0, 12]"
Facing History and Ourselves,"[0, 12]"
Unite America,"[0, 11]"
Planned Parenthood Action,"[0, 11]"
United Way of Greater New Haven,"[0, 10]"
Fipple,"[0, 10]"
Jewish Leadership Conference,"[0, 9]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 9]"
ClubResist,"[0, 9]"
America's Future Foundation,"[0, 9]"
POW Action Fund,"[0, 8]"
Dean Phillips for Congress,"[0, 7]"
Blue Wave,"[0, 7]"
Say No to impeachment,"[0, 6]"
Disrupt Aging,"[0, 6]"
Mickie's Miracles,"[0, 4]"
Proud Right Winger,"[0, 3]"
MO Research,"[0, 3]"
Capital Research Center,"[0, 3]"
Bobby Kuppers for NC Senate,"[0, 3]"
Science for Humans and Freedom Institute,"[0, 2]"
Phil Bredesen,"[0, 2]"
Janet Mills,"[0, 2]"
American Jewish World Service - AJWS,"[0, 2]"
Sandra Kennedy,"[0, 1]"
