Tom Wolf,"[500970, 1304835]"
Democrats,"[7, 210]"
Cort VanOstran for Congress,"[7, 34]"
Joel Abelove for District Attorney,"[6, 30]"
Joe Cunningham,"[5, 23]"
Trumpiness,"[3, 16]"
Natalie Guest,"[2, 9]"
Danny Mackey for Howard County Board of Education,"[2, 8]"
Energy Nation,"[1, 339]"
Rick Green,"[1, 7]"
Phyllis Chesler,"[1, 7]"
Jessica Ancona for El Monte City Council,"[1, 5]"
Hansen for House,"[1, 3]"
Democratic Party,"[0, 108020]"
Scott Conklin,"[0, 2997]"
Marty Flynn for State Representative,"[0, 2997]"
Pennsylvania Cable Network (PCN),"[0, 1998]"
League of Women Voters of Bucks County,"[0, 1998]"
Fellerman & Ciarimboli,"[0, 1998]"
Ocean Conservancy,"[0, 1949]"
PragerU,"[0, 1475]"
Winning For Women,"[0, 1183]"
Mercy For Animals,"[0, 1056]"
Sue Walker PA 13,"[0, 1040]"
West Nantmeal Voters,"[0, 999]"
"Warwick Democratic Committee - Lancaster, PA","[0, 999]"
Vote NO on the Job-Killing Community Bill of Rights,"[0, 999]"
Upper Chichester Democrats,"[0, 999]"
Save the Children Action Network,"[0, 999]"
Pittsburgh UNITED,"[0, 999]"
Military Officers Association of America (MOAA),"[0, 999]"
Make the Road Pennsylvania,"[0, 999]"
Joe Webster for PA,"[0, 999]"
Friends of Glenn Thompson - Team GT,"[0, 999]"
Framed Tweets,"[0, 999]"
Elk County Democratic Committee,"[0, 999]"
Douglas Beaver For State Representative,"[0, 999]"
Dan K Williams for PA State Representative 74th District,"[0, 999]"
Community EFC Youth Group,"[0, 999]"
Citizens Climate Lobby - Slippery Rock,"[0, 999]"
Atlas Network,"[0, 999]"
49th Bud Cook,"[0, 999]"
Councilman Ben Bell,"[0, 973]"
Pennsylvania Budget and Policy Center,"[0, 935]"
EMILY's List,"[0, 923]"
Doug Kaetz & From The Dark River,"[0, 814]"
Representative Steve Mentzer,"[0, 809]"
Pennsylvania Record,"[0, 806]"
Askov Finlayson,"[0, 659]"
Ivory Ella,"[0, 533]"
Judge Elizabeth Burns for Supreme Court,"[0, 506]"
Science for Humans and Freedom Institute,"[0, 482]"
Al Redmer Jr,"[0, 439]"
WhyHunger,"[0, 333]"
Working Families Party,"[0, 262]"
National Domestic Workers Alliance,"[0, 261]"
Politicon,"[0, 250]"
Justice Democrats,"[0, 203]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 201]"
Stand Up America,"[0, 200]"
Chris Pappas for Congress,"[0, 200]"
Serve America,"[0, 180]"
Indivisible Guide,"[0, 162]"
Priorities USA Action,"[0, 160]"
Resist Trump's agenda,"[0, 154]"
Conservation International,"[0, 151]"
Shield Republic,"[0, 142]"
National Network of Abortion Funds,"[0, 139]"
Heifer International,"[0, 138]"
Greenpeace USA,"[0, 131]"
Pocket Your Dollars,"[0, 111]"
Divided We Stand,"[0, 111]"
Tammy Baldwin,"[0, 105]"
Pi Yoga Pants,"[0, 100]"
Be A Hero,"[0, 95]"
Fipple,"[0, 90]"
Democratic Senatorial Campaign Committee (DSCC),"[0, 85]"
Pfizer,"[0, 78]"
Diane Mitsch Bush for Colorado CD3,"[0, 66]"
Ocean Helper,"[0, 65]"
Animal Matters,"[0, 62]"
End Citizens United,"[0, 61]"
Allison Gilman For Judge,"[0, 59]"
Energy Citizens,"[0, 58]"
Oxfam,"[0, 57]"
Emerson College Polling,"[0, 51]"
Col Rob Maness ret,"[0, 51]"
American Jewish World Service - AJWS,"[0, 51]"
45th President Donald J. Trump,"[0, 51]"
Susan Reeder Jessee for County Council At-Large,"[0, 50]"
Martin Heinrich,"[0, 49]"
The Devil We Know,"[0, 45]"
Sarasota citizen Martin Hyde,"[0, 45]"
BreakPoint,"[0, 45]"
National Women's Law Center,"[0, 44]"
Joe Kennedy III,"[0, 43]"
Definition.org,"[0, 43]"
Conversations with Bill Kristol,"[0, 43]"
Co-ops Vote,"[0, 42]"
Claire McCaskill,"[0, 42]"
Disrupt Aging,"[0, 39]"
Mitch McConnell,"[0, 37]"
Rob Davidson for Congress,"[0, 36]"
Ramah International - Abortion Recovery,"[0, 33]"
Nancy Soderberg for FL Congress District 6,"[0, 32]"
Class,"[0, 31]"
Lupe Valdez,"[0, 30]"
Human Coalition,"[0, 30]"
CARE,"[0, 30]"
Local Majority,"[0, 28]"
My Kat's Whiskers,"[0, 27]"
OAF Nation,"[0, 25]"
Elizabeth Warren,"[0, 24]"
Forest Fire Facts,"[0, 23]"
