Donald J. Trump,"[41596, 259211]"
Citizen Action for Safe Energy - Adams County,"[41000, 205994]"
Fuel Freedom Foundation,"[40430, 202147]"
Self-Reliant Republic,"[40174, 200864]"
Living Free,"[40000, 199996]"
ACLU,"[39294, 153903]"
WeCare for Weld,"[39000, 192970]"
ACLU of Colorado,"[38000, 176991]"
Congressman Jared Polis,"[36000, 164995]"
SAM - Serve America Movement,"[35387, 164693]"
Guinn Unger for Colorado State Senate,"[34000, 189913]"
MedicareSupplement.com,"[33000, 333776]"
YES on Proposition 111: Stop predatory payday loans in Colorado,"[33000, 158980]"
Jacque Phillips for Colorado State Representative District 34,"[33000, 136991]"
Jeff Shrader for Jeffco Sheriff,"[33000, 134993]"
The Western Journal,"[32810, 145169]"
Stop the Gross Dam Expansion Coalition - Lead by TEG,"[32000, 162992]"
Angry Grady Nouis,"[32000, 134989]"
Vote The Outdoors Action Fund,"[31000, 154996]"
Debora Scheffel For Colorado State Board of Education District 4,"[30995, 96973]"
Guns For Everyone,"[30984, 142901]"
EveryLibrary,"[30187, 120933]"
"Steve O'Dorisio, Adams County Commissioner","[29766, 96610]"
Sean For Larimer County Commissioner,"[28998, 246852]"
Sandy Hook Promise,"[28545, 60338]"
Erin Kelley for Colorado House District 60,"[28000, 129980]"
Chase Kohne for Congress,"[27985, 124921]"
Environmental Voter Project,"[27086, 173512]"
Denver 8 TV,"[27000, 119995]"
Englewood Recall,"[27000, 91992]"
Fahrenheit 11/9,"[26500, 87306]"
Texas Public Policy Foundation,"[26000, 115995]"
Colorado GOP,"[25987, 115947]"
Hanlon for Colorado,"[25000, 138959]"
Amanda Sawyer for Denver City Council District 5,"[25000, 129988]"
ReElect Tom Jankovsky Garfield County Commissioner,"[25000, 96990]"
Mike Weissman,"[24742, 96700]"
Beto O'Rourke,"[24721, 56949]"
Tom Steyer,"[24078, 116313]"
Save Our State -Colorado,"[24000, 77985]"
"I'll go ahead and keep my guns, Thanks","[23686, 51421]"
Nurx,"[23092, 49627]"
The Corner at Brush Creek,"[23000, 54993]"
Raising Colorado,"[22998, 121956]"
Peaks to People Water Fund,"[22864, 87606]"
Calandra Vargas for County Commissioner,"[22000, 121966]"
Colorado Education Association,"[22000, 115961]"
Together Colorado,"[22000, 109996]"
Ready CO,"[22000, 103982]"
Healthier Colorado,"[22000, 81993]"
Colorado Succeeds,"[22000, 80994]"
Colorado Campaign for Life,"[22000, 79995]"
Earthworks Action Fund,"[22000, 72982]"
Beatie for Colorado,"[22000, 68986]"
AARP Colorado,"[22000, 49994]"
The Nature Conservancy,"[21038, 108183]"
USADefend Immigration,"[20999, 75993]"
Airbnb Citizen,"[20000, 100997]"
Dave Gill for Douglas County Treasurer,"[20000, 99998]"
"Frank Moe ""Incumbent"" Candidate Moffat County Commissioner District 3","[19927, 58056]"
Voto Latino,"[19000, 89953]"
Peoples Climate Movement,"[18372, 99638]"
Grassroots Power: Willmeng For Boulder County Commissioner,"[18000, 63986]"
Elizabeth Warren,"[17789, 51352]"
Power In Cooperation,"[17622, 92595]"
Planned Parenthood,"[17197, 88224]"
Caraveo for Colorado,"[17000, 91985]"
Live Green Real Estate Inc,"[17000, 70995]"
Randy Thurston for Mayor,"[17000, 69996]"
Kimberly Parker for Commissioner,"[16000, 102961]"
Kersgaard for Jeffco,"[16000, 68993]"
Cohen Veterans Network,"[16000, 67994]"
Susan Kochevar,"[16000, 65996]"
Spirit of Colorado,"[16000, 64997]"
Save the Poudre,"[16000, 64997]"
NowThis Politics,"[15924, 31847]"
Representative Dylan Roberts,"[15000, 66982]"
Sheriff Michael McIntosh,"[15000, 62995]"
Lofgren for Lochbuie: 2020 Vision for Lochbuie's Future,"[15000, 60997]"
CO4Kids,"[15000, 59998]"
Colin Wilhelm For Colorado,"[14000, 60984]"
Bonnie McLean for Clerk and Recorder,"[14000, 41992]"
Dan Sapienza for Larimer County Clerk,"[13998, 74978]"
Mic,"[13937, 27874]"
Tony Pigford for Denver City Council At-Large,"[13000, 68983]"
Kayvan Khalatbari,"[13000, 66994]"
El Paso County Republican Party,"[13000, 64996]"
We Are PA,"[13000, 51978]"
The Tax You Don't Pay,"[13000, 34995]"
Brianna For Colorado,"[12995, 52023]"
Colorado Farm Bureau,"[12994, 36965]"
American AF,"[12489, 34786]"
Emma Pinter for Adams County Commissioner,"[12000, 69599]"
Environment Colorado,"[12000, 62985]"
Pueblo Clean Energy Alliance-Colorado,"[12000, 59997]"
Todd Hendreks for Town of Parker Town Council,"[12000, 53983]"
EyeTech Optometry,"[12000, 31994]"
Progressive Turnout Project,"[11214, 52427]"
Marcus Murphy,"[11000, 64979]"
Vote Kennedy,"[11000, 59993]"
Kennedy4Colorado,"[11000, 59984]"
Lynette for Colorado,"[11000, 58974]"
Vote Yes for 6A,"[11000, 57995]"
People United for Responsible Government,"[11000, 54998]"
Our Children's Trust,"[11000, 54998]"
On Board With RFTA,"[11000, 54989]"
Jeni Arndt for Colorado,"[11000, 42990]"
Sullivan For Colorado,"[11000, 29992]"
Jeanne McQueeney Eagle County Commissioner,"[11000, 29992]"
Alexandria Ocasio-Cortez,"[10992, 22149]"
Tony Hass for Las Animas County Commissioner District #3,"[10780, 40143]"
Brittany Pettersen for Colorado,"[10643, 24283]"
MJ for Texas,"[10363, 25952]"
NRA Institute for Legislative Action,"[10184, 50921]"
EDF Action,"[10003, 50016]"
