,1492249
The committee to elect Ray Garofalo,983
Paramount Network,975
Proud Right Winger,963
Kevin McCarthy for Congress,963
Circa,948
Young America's Foundation,945
Louisiana Lawsuit Abuse Watch,921
Perry Parker for Congress,893
League of Conservation Voters,888
Austin for Mayor Campaign Comittee,886
Build With Strength,866
Philip Levine, Democrat, for Governor,807
Patriotic Drop Shop,798
WeThePeopleHolsters ,796
Mutual of Omaha,792
EMILY's List,779
Oceana,760
Amnesty International USA,743
theSkimm,733
Adam Schiff for Congress ,729
GOP Gifts,716
Oxfam America,702
Bredesen for Senate,699
Air Line Pilots Association, International,699
FRIENDS OF GENTNER DRUMMOND 2018,698
Porter for Congress,686
OZY Media,675
International Rescue Committee,671
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,669
Inequality Media,668
Ro for Congress,655
St. Martin's Press,633
Nine Line Apparel,633
NowThis,625
Kialo,596
Tony for Wisconsin. ,595
Mercy For Animals,578
UPROXX,576
Welcome.us,570
Link TV ,568
Rustic Edge Marketing,565
Friends Of Travis Houston,565
and Authorized by  Andrew Janz for Congress.,562
The National Organization for the Reform of Marijuana Laws,555
Science for Humans and Freedom Institute,537
LifeZette Inc.,537
The Poor People's Campaign: A National Call for Moral Revival,513
Cobb County Coalition,509
The Committee To Elect Dawn Barlow For Congress,505
Texans for Natural Gas,504
the National Network of Abortion Funds,492
Planned Parenthood Action Fund.,483
Armed American Supply,474
Association of Young Americans,473
Jeff Merkley for Oregon,466
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,464
EMILY's List, www.emilyslist.org, and not authorized by any candidate or candidate's committee.,462
Andrew Gillum, Democrat, for Governor,462
MIKE MILLER FOR CONGRESS,452
The People's Trumpet LLC,443
The Years Project,441
Random House,430
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,428
Movement Advancement Project.,424
the Physicians Committee for Responsible Medicine,423
Let Africa Live,411
Abortion On Our Own Terms,407
The Wilderness Society,403
the Committee to Re-elect Circuit Judge Lamar Pickard,391
UltimateStraw,391
Heidi for North Dakota,377
The Western Journal,374
No Kid Hungry,355
Stand Up America,351
Proud American Hunter,350
ASMDSS, Inc,345
factboxdottv an independent news and opinion organization,344
Chad Benson,343
Stormey Primm for Coroner,339
Battleraddle,336
MO Research, Inc.,334
Hoover Institution,322
News For Democracy,321
John Cox for Governor 2018,320
Greater Half,318
Penzeys,316
Everytown for Gun Safety Support Fund,302
Zephyr for NY,294
Patriotic Democrat,289
Diversity Incorporated,286
Ringelstein For Maine,284
Beachside Media, Inc.,280
Mathew D. Blanchfield,274
Conservation International,272
Friends of Bernie Sanders,266
Military Officers Association of America (MOAA),264
Indivisible Action,260
Avi Bernard,258
Gillibrand for Senate,255
Freedom Watch, Inc.,255
Brian McClendon for Kansas Committee,254
Swing Left. Not authorized by any candidate or candidate's committee.,252
Your Trump Shop,248
Patty Murray for Senate,248
Democratic Association of Secretaries of State ,246
Main Street Investors Coalition,245
The Christian Left,244
Right Wing News ,239
Real Justice PAC and not authorized by any candidate or candidate's committee.,239
I Love My Freedom,239
The Record ,238
CHC BOLD PAC,237
Conservative Majority Fund,234
Live Action,230
National Audubon Society,222
Naturally Fit Inc,221
James Peters for Congress,218
Rosen for Nevada,215
OAF Nation, Inc,210
The Brookings Institution,209
ERIC BRAKEY FOR U.S. SENATE,208
Paid for the by the Working Families Party National IE Committee, Mike Boland Treasurer, 1 Metrotech Center North, 11th Floor, Brooklyn, New York. Not authorized by any candidate or candidate’s committee. ,207
Arkansans for Jobs and Justice ,205
theugliestamerican,203
Stacey Abrams for Governor,200
Bill Holt's Dreamies®,197
Unite Here Tip State and Local Fund Nevada,192
Be a Hero PAC,190
the DSCC,188
Bill O'Reilly Staff,187
Chris Elliot for State Senate,186
Finance Watch Dogs,185
PrintedKicks,180
DrugJustice,179
Grabien,177
Affordable Housing for All, Yes on D,177
Center for Biological Diversity,176
Better Medicare Alliance,176
Smart Customer,174
Cornerstone Television Network,174
myRAteam,172
Ryan A. Farber For President,171
Happy Hippo LLC,167
Philip Becnel,166
Wind Energy Foundation,165
Unite America Inc.,164
Union County Democratic Party,161
Tina Smith for Minnesota,160
Axios Partner,160
Clarion Project,159
Military History Working Group at the Hoover Institution,158
Tomika T. Harris Irving,156
Rainforest Action Network,156
Foundation for Individual Rights in Education,156
O’Connor for Congress,155
Animal Matters,155
Red, White and F You,154
Tee Shirt Palace,153
A Place at the Table,153
CREDO Mobile,146
NRDC Action Fund,143
NTK Network,141
Dodson for Senate – Wyoming First,139
The Atlas Society,138
NC Common Ground,137
Democratic Grassroots Action Institute & Network,136
