Keep Preston Worley,"[15000, 65983]"
John Riley - Spencer County Judge Executive,"[15000, 60997]"
Phillip Pratt,"[15000, 59998]"
Taxotere Lawsuit Information,"[14053, 28106]"
Ben Lawson for State Representative,"[14000, 39994]"
Dana Beasley Brown for Bowling Green,"[13957, 39780]"
Democratic Attorneys General Association,"[13767, 38829]"
Democrats,"[13635, 61509]"
Justin Fortner for Campbell County Commonwealth Attorney,"[13215, 57015]"
"I'll go ahead and keep my guns, Thanks","[13115, 28396]"
David Charles,"[13000, 53987]"
Renee Jackson Shepard,"[13000, 37992]"
Shelley Santry for Judge,"[12931, 69646]"
Human Rights Campaign,"[12498, 55650]"
Planned Parenthood,"[12373, 34812]"
AIPAC,"[12121, 60281]"
Campbell County Republican Party,"[12013, 59845]"
"Billy Ray Hughes for Magistrate, 3rd District","[12000, 59997]"
Trina Huston for Circuit Clerk,"[12000, 31994]"
Nate Cox for Mayfield City Council,"[12000, 30995]"
"Elect Terri King Schoborg, Family Court Judge","[12000, 29996]"
Billy Michael Collett for Sheriff of Leslie County,"[11997, 63967]"
DoSomething.org,"[11909, 54011]"
Donald J. Trump - Keep America Great,"[11514, 25124]"
Cynthia Nixon for New York,"[11202, 22427]"
Logically Illiberal,"[11143, 22287]"
Zanda Myers For District Judge,"[11114, 30221]"
Tyler DeArmond for Sheriff,"[11000, 57995]"
Elect Wm Eddie Proffitt for Trigg County Jailer,"[11000, 57976]"
"Walker Wood Thomas, KY State Representative, District 8","[11000, 54998]"
"Richard Brown for Metro Council District 15; Louisville, KY","[11000, 54998]"
My Pay My Say,"[11000, 54998]"
Zachary D. Brien for Marshall County Attorney,"[11000, 26995]"
Monti Collins for County Commissioner,"[11000, 24997]"
Mike Cassidy for Jessamine County Judge Executive,"[11000, 24997]"
Kentucky Center for Economic Policy,"[11000, 24997]"
Colleen Younger for Property Valuation Administrator,"[10999, 54994]"
State Representative Chris Harris,"[10727, 32875]"
U.S. LawShield,"[10247, 44998]"
LG&E and KU,"[10212, 20424]"
National Shooting Sports Foundation | NSSF,"[10004, 50007]"
Tyler Murphy for Fayette County School Board,"[10000, 76963]"
Job Creators Network,"[10000, 55993]"
Malcolm Cherry For State Representative,"[10000, 53986]"
National Wildlife Federation Action Fund,"[10000, 49999]"
MHI Action,"[10000, 49999]"
Lindsay Hughes Thurston For Judge,"[10000, 49999]"
Elect Tim Flener for Butler County Judge Executive,"[10000, 49999]"
Comer for Congress,"[10000, 49999]"
Clinton County KY Tourism,"[10000, 49999]"
Nicole George for Metro Council 21,"[10000, 35993]"
Ryan Quarles,"[9996, 49981]"
Rugged Roots,"[9992, 49961]"
KeneBop Productions,"[9958, 49789]"
Ben Shapiro,"[9612, 22716]"
Leigh Boland Jones for State Representative,"[9564, 51817]"
United States Constitution,"[9388, 26026]"
We The People Holsters,"[9345, 19555]"
Shannon Pottie-Whitaker for Mayor of La Grange,"[9303, 47510]"
Rob Walker for Ky House,"[9000, 49920]"
Mona Hampton-Eldridge,"[9000, 36988]"
RB McKenzie,"[9000, 31993]"
Lacresha Gibson for Boyle County PVA,"[9000, 31993]"
Morgantown Mayor Billy Phelps,"[9000, 30994]"
Steve Kay for Council at Large,"[8999, 47983]"
"Raymond ""Dykie"" McGee for Livingston County Attorney","[8999, 35979]"
Tobacco Free Indiana,"[8939, 17878]"
Beto O'Rourke,"[8854, 18852]"
Judge Darryl Lavery,"[8513, 45554]"
ASPCA,"[8307, 30376]"
Conservative Gear,"[8123, 25550]"
Dropkick Memes,"[8122, 16245]"
Make America Great Again - Republican,"[8078, 18476]"
"Scott Whitehouse for Mayor of Prospect, KY","[8000, 50981]"
Sarah Hays for District Judge,"[8000, 44987]"
Wendy Graney for Shelby County Circuit Court Clerk,"[8000, 41990]"
News Break,"[8000, 26994]"
Stephanie King-Logsdon for Circuit Court Clerk,"[8000, 25995]"
Pegasus Institute,"[8000, 25995]"
Compare Medicare Quotes,"[7600, 19001]"
Brigade,"[7187, 14374]"
Shannon C. Smith for Covington City Commission,"[7150, 28329]"
Charlie Kirk,"[7032, 14064]"
"Robbie Smither for Shelby County Magistrate, 5th District.","[7000, 47980]"
Denise Gray For Kentucky,"[7000, 39988]"
Write-in Bonnie Wheeler Hardin County Sheriff,"[7000, 38989]"
Hank Linderman,"[7000, 38989]"
Elect Greg Hays Breathitt County Coroner,"[7000, 37990]"
Vote Mark Lee Mayor,"[7000, 34993]"
Sandy Shafer,"[7000, 29987]"
"Elwood Caudill, Jr. for Clerk","[6999, 35989]"
NARAL Pro-Choice America,"[6981, 23537]"
NRSC,"[6443, 17891]"
Kirsten Gillibrand,"[6415, 15123]"
Elizabeth Warren,"[6368, 18390]"
Proud Right Winger,"[6322, 16120]"
"Ben Baker for Mayor, Dayton Ky","[6000, 39984]"
Brock Lisby For Magistrate District 6,"[6000, 35988]"
Kelli Kearney for District Judge,"[6000, 32991]"
Bob Glenn for State Senate,"[6000, 32991]"
Jason Walter,"[6000, 29994]"
Deanna Frazier for State Representative,"[6000, 29994]"
Rachel Ratliff for Pike County Attorney,"[6000, 16891]"
Mary Renfro,"[6000, 15997]"
Josie Raymond for State Representative,"[6000, 14998]"
I Heart Teachers,"[6000, 14998]"
Foster the Statue,"[6000, 14998]"
Forward Kentucky,"[6000, 14998]"
Bobby McCool For State Representative 97th District,"[6000, 14998]"
Sarah Stewart Holland - Paducah City Commissioner,"[5985, 14948]"
Re-Elect Tim Wirgau State Representative,"[5876, 21773]"
Hilliard Lyons,"[5816, 30333]"
FreightWaves,"[5791, 12203]"
Elect Carol Abney,"[5703, 28977]"
Joshua Medley for Marshall County 1st District Commissioner,"[5679, 38055]"
4ocean,"[5583, 13454]"
Ryan Hampton,"[5491, 11079]"
State of Corruption NH,"[5404, 13460]"
Defend Our Constitution,"[5310, 10619]"
UPROXX News,"[5186, 10396]"
Drinking Liberally Lexington,"[5000, 29990]"
