Donna McLeod,"[21000, 104469]"
Save Our Air Medical Resources,"[20000, 99998]"
Faith & Freedom Coalition of Georgia,"[20000, 99998]"
Cobb EMC Friends,"[20000, 87990]"
I have a Dream- 2019 Rev Dr. Martin Luther King Parade,"[20000, 69997]"
Ted Cruz,"[19874, 39748]"
UnitedHealthcare,"[19599, 42023]"
Dale Rutledge,"[19000, 94979]"
Better Georgia,"[19000, 79994]"
Save the Storks,"[18303, 38402]"
Dine with Dems,"[18000, 93987]"
American AF,"[17305, 47948]"
Swing Left,"[17107, 89873]"
Josh McCall - McCall for All,"[17000, 71994]"
United States Constitution,"[16704, 49977]"
We The People Holsters,"[16151, 42135]"
Henry County Republican Party,"[16000, 84980]"
Dawn Randolph for Georgia Public Service Commission,"[16000, 83989]"
Military Network,"[16000, 69983]"
Georgia Farm Bureau,"[16000, 51990]"
GALEO.org,"[15926, 64629]"
Sierra Club,"[15675, 38173]"
CARE,"[15404, 134121]"
Write-In Joseph Pond 4 District 3,"[15000, 90969]"
Caroline Holko for Cobb County,"[15000, 77991]"
Chuck Eaton,"[15000, 75993]"
Shane Mobley for GA,"[15000, 60977]"
Stand for the 2nd Amendment,"[14717, 34054]"
International Rescue Committee,"[14398, 37487]"
Environmental Voter Project,"[14330, 128892]"
ACLU,"[14300, 45297]"
The BROWN Report,"[14000, 70985]"
Julie Jordan for Georgia,"[13968, 82728]"
Elect David O'Quinn,"[13868, 68422]"
Georgia Right to Life,"[13783, 63895]"
4ocean,"[13740, 34603]"
Kamala Harris,"[13496, 57683]"
Tom Steyer,"[13188, 39230]"
Georgia's WINning Women,"[13000, 38991]"
Joseph Gullett,"[12932, 64656]"
Ben Shapiro,"[12390, 28544]"
Clay Cox,"[12000, 63993]"
Rosanna Szabo,"[12000, 61995]"
Teri Anulewicz for Georgia House District 42,"[12000, 59997]"
Krish Bralley,"[12000, 59997]"
Gwinnett County Democratic Party,"[12000, 29996]"
"I'll go ahead and keep my guns, Thanks","[11948, 29869]"
Whiteside for Richmond County Board of Ed,"[11855, 33173]"
NRA - National Rifle Association of America,"[11619, 33403]"
FEE,"[11608, 58071]"
DoSomething.org,"[11468, 56746]"
PCCC - BoldProgressives.org,"[11150, 60051]"
Republicans for the Rule of Law,"[11098, 25776]"
UltraViolet,"[11000, 57995]"
Gary Bechtel for State Representative,"[11000, 54998]"
Alliance for Climate Education,"[11000, 54998]"
Rosser for Georgia,"[11000, 49983]"
Elect Tim Young for Pulaski County Commissioner,"[11000, 25996]"
Packer Patriots Friends of NRA,"[11000, 24997]"
Mike Edmondson,"[11000, 24997]"
Conservative Gear,"[10633, 43066]"
St. Martin's Press,"[10623, 27105]"
Finance Watchdogs,"[10413, 53499]"
Voto Latino,"[10197, 88335]"
Parks Project,"[10095, 26160]"
Democrats,"[10037, 27412]"
Alicia Scott for Georgia District 164,"[10000, 54985]"
Jim Gilvin,"[10000, 50998]"
Workout Anytime Marietta,"[10000, 49999]"
Windsor Jones,"[10000, 49999]"
WGXA.tv,"[10000, 49999]"
Voter Opinion Survey,"[10000, 49999]"
The Georgia Fathers' Rights Movement,"[10000, 49999]"
Rick Allen,"[10000, 49999]"
Our Georgia Heroes,"[10000, 49999]"
Job Creators Network,"[10000, 49999]"
"Jasmine Benton, Realtor & Credit Consultant","[10000, 49999]"
Him500 Credit Specialist,"[10000, 49999]"
Georgia Votes,"[10000, 49999]"
Georgia Cannabis Coalition,"[10000, 49999]"
Conservative Leadership for Georgia Action Fund,"[10000, 49999]"
Budget Car Sales of Tifton,"[10000, 49999]"
Backcountry Hunters & Anglers,"[10000, 49999]"
Citizens To Keep Stockbridge Together,"[10000, 41987]"
City of Eagles Landing,"[10000, 40988]"
Workshop4Retirement,"[10000, 19998]"
Westside Future Fund,"[10000, 19998]"
Farkas Real Estate Group,"[10000, 19998]"
CareSource of Georgia,"[9942, 49707]"
Dogwood Alliance,"[9788, 33067]"
Pam Tucker for Commission Chair 2018,"[9742, 48708]"
Supporting American Values,"[9648, 24119]"
Fahrenheit 11/9,"[9476, 23621]"
Nine Line Apparel,"[9268, 24870]"
Oxfam,"[9156, 23027]"
Mary Frances Williams for House District 37,"[9000, 53982]"
Cobb County Republican Party,"[9000, 29995]"
The Daily Show,"[8920, 17841]"
End Citizens United,"[8805, 27016]"
Winning For Women,"[8764, 28720]"
The Palmetto PAC,"[8764, 22014]"
Florida Knows Best,"[8720, 31637]"
Sandy Hook Promise,"[8620, 22377]"
Ryan Hampton,"[8556, 17202]"
"The Urbina Law Firm, LLC","[8280, 41391]"
"The Law Offices of Vaughan de Kirby, A.P.C.","[8256, 20639]"
National Partnership for Women & Families,"[8189, 17405]"
U.S. LawShield,"[8174, 16349]"
Jeff Jones,"[8006, 64951]"
Andy Clark for State Senate,"[8000, 59972]"
Cowen for Congress,"[8000, 48983]"
Andy Welch for GA House of Representatives,"[8000, 43988]"
Dagen For Senate,"[8000, 26962]"
Rodgers for GA Senate - 45th,"[8000, 24996]"
All On Georgia - Tattnall,"[8000, 24996]"
All On Georgia - Bulloch,"[8000, 24996]"
Faith in Public Life Action,"[7804, 39020]"
Rebuilding America Now,"[7723, 20223]"
Allie on CRTV,"[7613, 19137]"
Beltone South,"[7527, 15055]"
Period Calendar Cherry,"[7485, 18742]"
Comedy Central,"[7479, 15728]"
Dropkick Memes,"[7455, 14910]"
Mic,"[7240, 19488]"
Conservative Tribune,"[7131, 18245]"
In the Woods with Phil,"[7073, 16144]"
Vote Tim Edgar School Board,"[7000, 46981]"
Vote Terry Rogers,"[7000, 43984]"
Beth Moore for Georgia House District 95,"[7000, 30030]"
Newton Dems,"[7000, 19997]"
Black Church PAC,"[7000, 19997]"
New Georgia Project,"[6936, 22855]"
Heidi Heitkamp,"[6921, 16576]"
Definition.org,"[6914, 23250]"
Cold Dead Hands,"[6913, 17310]"
Volunteer Ministers,"[6892, 17229]"
Georgia Equality,"[6873, 20359]"
Misha Collins,"[6723, 16808]"
Joe Walsh,"[6707, 16768]"
DiversityInc,"[6691, 32737]"
Andrew Janz,"[6674, 16140]"
Danielle Forté for Clerk of Superior Court,"[6622, 22233]"
Premium Care For Seniors,"[6564, 15119]"
Super Deluxe,"[6542, 17161]"
When We All Vote,"[6522, 27768]"
Dissent Pins,"[6404, 16174]"
SweetGrass Capital,"[6217, 25750]"
Homes For Our Troops,"[6186, 15358]"
NowThis,"[6117, 15292]"
Democratic Coalition Against Trump,"[6109, 37212]"
VoteTogether,"[6064, 29624]"
Georgia's WIN List,"[6000, 37967]"
Elect Leonard Amundson - Douglas County BOC District 3,"[6000, 34989]"
Nick Estes for Canton,"[6000, 29994]"
Chris Benton for GA House District 131,"[6000, 29994]"
George F. McCranie: Abogado De Inmigracion,"[6000, 20992]"
Savannah Regional Central Labor Council,"[6000, 15997]"
Jan Jones,"[6000, 15997]"
Dede Durrett Rowland,"[6000, 15997]"
North Metro Republican Women,"[6000, 14998]"
National Wildlife Federation Action Fund,"[6000, 14998]"
Libertarian Party of Georgia,"[6000, 14998]"
Your Trump Shop,"[5993, 70990]"
Melvin for Georgia,"[5987, 33916]"
Robert Grant for School Board,"[5950, 15898]"
The Young Turks,"[5912, 19421]"
FreightWaves,"[5849, 11781]"
Commemorate Number 45,"[5841, 14679]"
NARAL Pro-Choice America,"[5762, 16689]"
Mike Allen,"[5720, 14300]"
Clila- Coalición De Líderes Latinos,"[5525, 38446]"
I Love My Freedom,"[5524, 14374]"
Circa,"[5499, 21965]"
AIDS Healthcare Foundation,"[5454, 10907]"
American Gun Association,"[5308, 10803]"
BOLD PAC,"[5160, 11966]"
Beto O'Rourke,"[5125, 12713]"
Giffords,"[5025, 15602]"
PEDS,"[5000, 34985]"
Charlie Bryson,"[5000, 31988]"
Flip Wilkes County,"[5000, 29979]"
Sams for Our Students,"[5000, 28991]"
Re-Elect Rudy Underwood Cobb EMC Board District 2,"[5000, 27992]"
Chuck Martin - Georgia State House Representative,"[5000, 26993]"
Champions Retreat Golf Club,"[5000, 25000]"
State Representative David Clark,"[5000, 17991]"
Uptown Cheapskate,"[5000, 14994]"
Grafe Auction Company,"[5000, 12996]"
Stand With Dan,"[5000, 11997]"
Georgia House Republican Caucus,"[5000, 10998]"
Georgia Animal Rights and Protection,"[5000, 10998]"
Women of the West,"[5000, 9999]"
Tom Gray Campaign,"[5000, 9999]"
That's my Ebike,"[5000, 9999]"
Taxpayers Against Camden Spaceport,"[5000, 9999]"
Political Rascals,"[5000, 9999]"
New Baptist Covenant,"[5000, 9999]"
Expozing Healthcare,"[5000, 9999]"
Elect Joyce Barlow,"[5000, 9999]"
Eagles Landing Family Practice,"[5000, 9999]"
45 and Sunny,"[5000, 9999]"
11Alive,"[5000, 9999]"
"Lynn Wood for Macon, Georgia","[4980, 10957]"
LGBT Right,"[4923, 12441]"
David Ralston,"[4917, 9834]"
Donald J. Trump - USA,"[4911, 9823]"
Sharise V. Riley for City Council District 7,"[4845, 12331]"
Tailgate,"[4818, 12045]"
Walt Maddox,"[4756, 9513]"
Pfizer,"[4487, 9640]"
NRDC,"[4306, 21753]"
America's Health Insurance Plans (AHIP),"[4283, 8565]"
People United for Privacy,"[4256, 10417]"
Union of Concerned Scientists,"[4242, 11144]"
Kevin McCarthy,"[4047, 11189]"
Dr. Indran Krishnan for State House,"[4000, 30985]"
Marisue Hilliard for GA State Senate District 46,"[4000, 25990]"
Dean4BOE,"[4000, 22993]"
Bobby Kaple,"[4000, 22993]"
Audrey Gibbons for JWSC,"[4000, 22993]"
State Representative Don Parsons,"[4000, 22943]"
Habersham County GA Democrats,"[4000, 20995]"
Citizens for a Better Newton,"[4000, 20995]"
United Tea Party of Georgia,"[4000, 19996]"
Robin Mauck for State House,"[4000, 19996]"
"Cansino Blanchette Law Firm, LLC","[4000, 19996]"
Goodwill Southeast Georgia,"[3904, 23510]"
Lisa Barclay Fountain for Circuit Judge,"[3876, 19378]"
Dinesh D'Souza,"[3875, 31495]"
MJ for Texas,"[3795, 8956]"
ASMDSS,"[3749, 8284]"
Marc Yount's Tire Pros,"[3726, 7452]"
Military Officers Association of America (MOAA),"[3716, 9157]"
Hotspot Shield,"[3589, 7179]"
Turning Point USA,"[3566, 10499]"
Kirsten Gillibrand,"[3549, 10177]"
Orlando Health,"[3543, 17716]"
D. Christine Thurman for Circuit Court Judge,"[3528, 17599]"
Main Street Investors Coalition,"[3458, 8133]"
BuzzVideo Advertising En,"[3458, 6915]"
Bernie Sanders,"[3437, 9002]"
America with Eric Bolling,"[3404, 11223]"
Shaun King,"[3404, 7127]"
Mayor Philip Levine,"[3376, 8077]"
Poor People's Campaign: A National Call for Moral Revival,"[3239, 7912]"
Legato,"[3224, 6448]"
Jackson Grant Capital,"[3178, 6819]"
Catholic Relief Services,"[3076, 7140]"
Rant Nation with Graham Allen,"[3055, 7500]"
Charlie Kirk,"[3038, 6077]"
Angelika Kausche,"[3000, 46965]"
Luisa Wakeman for GA HD 43,"[3000, 39972]"
Sandra Workman for GA Senate Dist. 01,"[3000, 20991]"
Melanie Whitfield For House,"[3000, 20991]"
Dan Matthews for Watkinsville City Council,"[3000, 20991]"
Georgia First Amendment Foundation,"[3000, 19992]"
Advocacy For Action,"[3000, 18993]"
Hall County Democratic Party,"[3000, 17994]"
Elect Dan Nolan - Nolan4PCSB,"[3000, 17994]"
Rep. Sam Park,"[3000, 16995]"
Cherokee County Republican Party,"[3000, 16995]"
Delvis Dutton,"[3000, 15996]"
All On Georgia.com,"[3000, 15996]"
