Randy Smith for Commission, Wanda Moody Treasurer,23000
Joseph Page ,23000
The Candidate,22964
Kevin Fisher for Murfreesboro City School Board,22641
the Committee to Elect Monica Timmerman,22153
Randy Boyd,22000
Citizens to Elect Phil Roe to Congress,21938
Planned Parenthood Federation of America,21758
45 Hats,21095
Chad Williams for Tennessee,20999
STAND FLAG POLES,20913
Kevin Haley for Commissioner,20044
Friends of Mayor McDonald,20000
Friends of Patrick Dandridge, Kevin Bruce, Treasurer,19529
Friends of George Chism,19000
Friends of Daniel Lewis,19000
the ACLU,18911
NRA,18900
Future in America,18009
Randell Stroud ,18000
Kimberly Wiggins for Trustee Betty Burchett, Treasurer,18000
Evans for Campbell County,18000
Conservative Christians of Tennessee,18000
Paid for by the Tennessee Democratic Party,17950
Tirrc Votes,17000
Mason for Trustee,17000
JOHN MORGAN FOR SHERIFF, RENEE MORGAN, TREASURER,17000
Committee To Elect Glen Casada ,17000
Andy Holt For State House,17000
Friends of Lisa Moore,16966
Committee to elect Rick Tillis,16932
NRDC,16912
Charlie Kirk,16445
ExxonMobil,16280
the Committee to Elect Katrina Robinson,16000
Unity PAC,16000
Matt DelRossi for Vice Mayor,16000
Friends to Elect Raumesh Akbari- Senate,16000
Friends of Miracle Hurley,16000
Friends of Linda Haney, Janice Spoone, Treasurer,16000
Committee to elect Guy Smoak, Brian Mason, Treasurer,16000
Vito for Congress Committee,15993
candidate,15000
Hire Memphis,15000
Debbie "Lee" Wright, Independent Candidate for Benton County Mayor - Treasurer, Dene Board,15000
Chuck Womack for Cookeville City Council,15000
Campaign to elect Eddie Smith, Dale Bailey, Treasurer,15000
Association for Accessible Medicines,15000
Anne Quillen for State House 25 / Dennis Gregg, Treasurer,15000
Friends of George Flinn,14994
John Neubert Candidate for Hawkins County Mayor,14928
MoveOn.org Civic Action.,14509
Elect Jenny Hill, Craig Kellogg Treasurer,14474
Concealed Online,14251
the Committee to Elect Kori Hamner,14000
Randy Ellis,14000
Planned Parenthood of Tennessee and North Mississippi. ,14000
Committee to Elect Ragan, Liz Ragan Treasurer,14000
ColMacfor5th,14000
Committee to Elect Jonathan Mason, Bill Mason, Treasurer,13994
Conservative Gear,13849
ASMDSS, Inc,13300
NowThis,13221
SOLAR ENERGY TODAY,13072
the candidate.,13000
Molder for Mayor,13000
the NRCC and not authorized by any candidate or candidate's committee.,12082
Mike Callis - Candidate for Mayor in Portland, TN,12063
Voters Decide,12000
Dwight Henry,12000
Bradley County Politics,12000
Citizens to Elect J. Racquel Collins,11999
Committee for Honor, Integrity & Courage,11974
Friends of Dale Lane, Mark White, Treasurer,11926
National Parks Conservation Association,11418
America First Policies,11395
Chattanooga Queer Community Forum,11344
AAF Nation, LLC,11322
the Physicians Committee for Responsible Medicine,11195
Tim Morrell for State Representative 49th District,11000
Tim Brown for Coffee County Mayor,11000
Second Harvest Food Bank of Middle Tennessee,11000
Nicholas Knight Campaign Fund; Ethan Lott, Treasurer,11000
Nathan Reed,11000
Committee to elect Andrea Bond Johnson,11000
CAS Political Action Committee ,10957
Clarksville Safe & Strong,10630
NRATV,10392
National Rural Electric Association,10006
Senate Republican Caucus. Ferrell Haile, Treasurer,10000
Rebecca Purington Campaign. Missy Horesh, Treasurer,10000
Job Creators Network,10000
Jason Knight,10000
JW Robertson, Treasurer - Thompson for Robertson County Clerk,10000
International Assn of Firefighters Local 1784 PAC,10000
George Thomas for State Senate,10000
Friends of Amber Mills - Donny Mayo, Treasurer,10000
Eugene Ray for Mayor,10000
Dr. Jordon Shaw for Maury County Commission - District 6,10000
American Conservative Union,10000
the committee to elect Alan Ledford, Tammye Ledford Treasurer,9993
Todd A. McKinley,9983
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,9433
Service Employees International Union,9000
Campaign to Elect Rick Eldridge,9000
Elizabeth for MA,8731
Weathers for Bradley County,8000
Ramon J. Ryan for State Executive Committee,8000
Bill Jones,8000
