Kyrsten Sinema,"[15, 583]"
Swing Left,"[13, 125]"
End Citizens United,"[12, 58]"
Planned Parenthood,"[12, 25]"
Energy Nation,"[11, 552]"
No Kid Hungry,"[11, 119]"
Working Families Party,"[11, 60]"
Ending Spending Action Fund,"[11, 53]"
MoveOn,"[10, 2258]"
Pfizer,"[9, 72]"
Stand Up America,"[8, 233]"
RedefinED,"[8, 39]"
Elizabeth Warren,"[7, 44]"
American AF,"[7, 44]"
CREDO Mobile,"[7, 35]"
Beto O'Rourke,"[6, 32]"
Kirsten Gillibrand,"[6, 31]"
Finance Watchdogs,"[5, 30]"
Define American,"[4, 21]"
Human Rights Campaign,"[4, 19]"
Planned Parenthood Action,"[4, 18]"
Greenpeace USA,"[3, 41]"
Kenny Marchant,"[3, 16]"
Cort VanOstran for Congress,"[3, 16]"
David Chiu,"[3, 15]"
Beth Finn for Philadelphia City Council at Large,"[3, 15]"
David Breitenbucher for City Council,"[3, 13]"
Anne Stava-Murray for State Rep,"[2, 12]"
Protect CA Health Care,"[2, 11]"
Engage Iowa,"[2, 10]"
SEIU MN State Council,"[2, 4]"
Politicon,"[1, 16]"
Irene Fernando for Hennepin County Commissioner - District 2,"[1, 6]"
Karen McCormick for Congress,"[1, 4]"
Renee Hoagenson for Congress,"[1, 3]"
Sharice for Congress,"[0, 28928]"
Democratic Party,"[0, 16564]"
Michael L. Ashcraft Johnson County Commissioner - 5th District,"[0, 2997]"
Marci Francisco for Kansas State Treasurer,"[0, 1998]"
Bryan Hoffman for Kansas Senate,"[0, 1907]"
Democratic Coalition Against Trump,"[0, 1858]"
Ocean Conservancy,"[0, 1290]"
Priorities USA Action,"[0, 1111]"
Sedgwick County Democratic Women,"[0, 999]"
Rep. Monica Murnan,"[0, 999]"
Kansas Appleseed,"[0, 999]"
Heifer International,"[0, 999]"
Dustin Brinkman for Kansas,"[0, 999]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 999]"
A Better Leavenworth,"[0, 999]"
Clausen For Kansas,"[0, 932]"
Winning For Women,"[0, 549]"
Framed Tweets,"[0, 457]"
Ivory Ella,"[0, 250]"
Power In Cooperation,"[0, 172]"
Alliance for a Better Minnesota,"[0, 143]"
Joe Kennedy III,"[0, 65]"
We Can Solve This,"[0, 64]"
Divided We Stand,"[0, 63]"
Askov Finlayson,"[0, 50]"
Pi Yoga Pants,"[0, 45]"
Phil Bredesen,"[0, 36]"
WhyHunger,"[0, 35]"
EMILY's List,"[0, 34]"
Angela Thomas for Mo. State Representatives District 160,"[0, 27]"
National Domestic Workers Alliance,"[0, 24]"
Science for Humans and Freedom Institute,"[0, 23]"
Nancy Soderberg for FL Congress District 6,"[0, 21]"
"Imprimis, a Publication of Hillsdale College","[0, 21]"
Conservative Gear,"[0, 15]"
Human Coalition,"[0, 14]"
Animal Matters,"[0, 13]"
U Know U Need This,"[0, 12]"
UnitedVoice.com,"[0, 11]"
Tina Smith,"[0, 11]"
Pocket Your Dollars,"[0, 10]"
Healthy Montana Campaign,"[0, 10]"
Save the Children Action Network,"[0, 9]"
Rant Nation with Graham Allen,"[0, 9]"
CARE,"[0, 9]"
Armed American Supply,"[0, 9]"
Politica CT,"[0, 7]"
Notorious Rbg - Protect Women Power,"[0, 6]"
Linda Bennett,"[0, 6]"
Democrats,"[0, 6]"
Ocean Helper,"[0, 5]"
Mindfulness Together,"[0, 4]"
Kate Brophy McGee - State Senate,"[0, 4]"
Buffy Wicks,"[0, 4]"
Save Elephants,"[0, 3]"
Sam Edney,"[0, 3]"
Our Kids 1st - Our Schools Now,"[0, 3]"
Giving Brush,"[0, 2]"
Mike Soter for State Representative,"[0, 1]"
