Sand Cloud,"[202, 930]"
Better Medicare Alliance,"[197, 983]"
Idaho DLCC,"[197, 393]"
Abortion On Our Own Terms,"[196, 1073]"
Republican Liberty Caucus,"[196, 862]"
Dangerous Documentaries,"[195, 976]"
AFSCME Council 28 WFSE,"[194, 868]"
Premium Care For Seniors,"[192, 901]"
Chrissy Houlahan,"[190, 987]"
Inogen,"[190, 951]"
Proud To Be A Republican,"[189, 1135]"
Conservation Ohio,"[188, 444]"
FrackFeed,"[183, 917]"
Learn Our History,"[183, 914]"
The Refugee Center Online,"[183, 912]"
The Atlas Society,"[183, 668]"
Senate Majority PAC,"[183, 492]"
Veterans and Affordable Housing Act,"[181, 362]"
CNSNews.com,"[180, 729]"
Altamar with Peter Schechter and Muni Jensen,"[178, 890]"
Rainforest Action Network,"[178, 408]"
Hello Resistance,"[177, 1384]"
Rick Neal for U.S. Congress,"[177, 919]"
Axios,"[177, 885]"
John Cox for Governor 2018,"[177, 354]"
LCV Victory Fund,"[175, 349]"
Young America's Foundation,"[174, 1899]"
Let Africa Live,"[173, 863]"
Church & State - Utah's Battle over Same-Sex Marriage,"[173, 863]"
Personal Liberty,"[172, 879]"
Barbara Lee Family Foundation,"[171, 856]"
Veterans of Foreign Wars VFW,"[171, 853]"
Anthony Brindisi For Congress,"[170, 849]"
Science for Humans and Freedom Institute,"[169, 2094]"
AFGE,"[167, 835]"
GOP Action,"[167, 834]"
Environmental Working Group,"[167, 540]"
BookTV,"[166, 832]"
Chad Benson Show,"[165, 900]"
UPROXX,"[165, 824]"
Paramount Network,"[164, 737]"
Jackson Grant Capital,"[163, 817]"
Clarion Project,"[162, 810]"
Nick Adams,"[160, 798]"
David Richardson for Congress,"[159, 393]"
The Conservative Nation,"[158, 804]"
AIPAC,"[158, 387]"
ASMDSS,"[157, 466]"
Askov Finlayson,"[156, 1868]"
Marggie Castellano for State Senate 36th District,"[156, 781]"
St. Martin's Press,"[153, 779]"
Dr. Bronner's,"[152, 762]"
Military Tees,"[150, 766]"
Good Jobs Nation,"[149, 744]"
Human Rights Watch,"[148, 1759]"
Seeker,"[148, 743]"
Bioneers,"[146, 728]"
Andy Manar,"[146, 292]"
Gell.com,"[146, 291]"
The Great Courses,"[145, 727]"
Project NOW,"[144, 718]"
Gadsden & Culpeper American Heritage Shop - Don't Tread On Me!,"[143, 714]"
The Humane Society of the United States,"[142, 711]"
45th President Donald J. Trump,"[141, 387]"
BESE,"[139, 695]"
The LIBRE Initiative,"[139, 694]"
"Chris Howard, Del Norte County District 3 Supervisor","[138, 691]"
The N.C. Star,"[138, 275]"
SimonBooks,"[136, 680]"
No Kid Hungry,"[135, 602]"
No Labels,"[135, 405]"
Roger Stone - Stone Cold Truth,"[133, 666]"
United With Israel,"[132, 660]"
The Andrew Klavan Show,"[130, 652]"
Open Doors USA,"[129, 643]"
Providence St. Joseph Health,"[128, 840]"
CARE,"[127, 586]"
The Party of Reason and Progress (PORP),"[127, 253]"
Captains for Clean Water,"[126, 251]"
Animal Petitions,"[125, 645]"
Access Fund,"[123, 277]"
Donald J. Trump - Keep America Great,"[121, 251]"
The King's Necktie,"[120, 598]"
"Vericool, Inc.","[120, 239]"
Conversations with Bill Kristol,"[119, 502]"
Serve America,"[119, 239]"
Link20: Act Up for Inclusion,"[119, 239]"
American Financial Advisory For A Better Future,"[118, 611]"
Ammar Campa for Congress,"[117, 645]"
"Anbex, Inc.","[117, 587]"
White Coat Waste Project,"[116, 1642]"
Daily Vine,"[116, 1580]"
Republicans for the Rule of Law,"[115, 576]"
Liberty or Death Project,"[115, 573]"
North Carolina Citizens,"[112, 507]"
Coachella Valley,"[110, 548]"
Definition.org,"[109, 2749]"
DTN/The Progressive Farmer,"[109, 547]"
Kyrsten Sinema,"[108, 1173]"
PowerLabs,"[108, 256]"
Free the States,"[107, 536]"
Alyse Galvin for Congress,"[107, 531]"
Baldwin for Judge,"[107, 213]"
National Restaurant Association,"[106, 528]"
Online Carry Course,"[106, 474]"
Seven Figure Publishing,"[105, 527]"
OSU Sexual Assault,"[105, 524]"
Scott Taylor,"[104, 521]"
End Party Politics,"[104, 208]"
Jared Polis,"[103, 517]"
Veteran Rating,"[103, 513]"
Economic Opportunity Institute,"[103, 513]"
LGBT Right,"[103, 261]"
Anybody seen my slippers ?,"[103, 207]"
Airline Passengers for Justice,"[102, 268]"
Avant-Voce,"[101, 718]"
Jetties Bracelets,"[101, 202]"
Energy Citizens,"[99, 332]"
Marco Sold Us Out Cheap,"[99, 197]"
American Medical Association (AMA),"[98, 490]"
Congressional Leadership Fund,"[98, 322]"
Corrections Tough,"[98, 196]"
Austin Petersen,"[97, 486]"
Ryan A. Farber,"[97, 485]"
Alex Merced for Vice Chair of the LNC - Libertarian National Committee,"[97, 193]"
Democratic Party,"[96, 80481]"
Support The 2nd Amendment,"[96, 914]"
Aspire Fashion,"[96, 799]"
Mad Dog PAC,"[95, 191]"
Hornet Stories,"[95, 189]"
Opportunity First,"[94, 1279]"
Common Sense Fusion,"[94, 188]"
Friends of the IDF (FIDF),"[93, 1112]"
Holmberg for New York,"[92, 460]"
Morgan Stanley,"[91, 455]"
Hillel International,"[91, 354]"
NerdWallet,"[91, 182]"
Keith Faber,"[91, 182]"
Brut UK,"[91, 181]"
ClearPath Action Fund,"[90, 340]"
AFSCME,"[89, 178]"
Brian Frosh,"[89, 177]"
Dallas Safari Club,"[88, 441]"
Elect Mona Das,"[88, 438]"
Print Mine,"[87, 437]"
National Mall Coalition,"[87, 173]"
Coverage of the Trump Presidency by The Epoch Times,"[86, 521]"
Anthony Mantova for Eureka City Council Ward One,"[86, 311]"
Scamazon,"[86, 270]"
LevinTV on CRTV,"[84, 241]"
Penguin Kids,"[83, 425]"
Toxic-Free Future,"[82, 410]"
American Friends of Magen David Adom,"[82, 246]"
CRTV Tonight with Gavin McInnes,"[81, 1390]"
Moms Clean Air Force,"[81, 774]"
Minerals Make Life,"[81, 407]"
Vote John Berrey Quapaw BC Chairman,"[81, 406]"
Democratic Coalition Against Trump,"[81, 404]"
New Jersey Education Association,"[81, 202]"
Scott Walker,"[80, 160]"
National League of Cities,"[79, 396]"
Perennial Plate,"[79, 159]"
Moving Michigan Forward Fund II,"[79, 158]"
Airport Workers United,"[79, 157]"
The Trump Prophecy Movie,"[78, 4789]"
New American Leaders,"[78, 155]"
Stop the wall,"[77, 473]"
Planned Parenthood Votes Northwest and Hawaii,"[77, 247]"
NIAC,"[77, 221]"
Musical Rabbit,"[77, 154]"
Topic,"[77, 153]"
Rock Steady Ecommerce,"[76, 200]"
Orman for Kansas,"[75, 404]"
Matt Gaetz,"[75, 163]"
The Point Magazine,"[75, 150]"
Emerge America,"[74, 412]"
Freedom Builders,"[74, 369]"
Facing History and Ourselves,"[74, 171]"
Working Families Party,"[73, 641]"
Friends of Christine Kilduff - D,"[73, 290]"
James Thompson for Kansas,"[72, 515]"
Proud Americans Supply,"[72, 144]"
Global Witness,"[72, 144]"
Military Officers Association of America (MOAA),"[70, 379]"
Trumpit Chat,"[70, 141]"
George Takei,"[70, 140]"
Florida Federation for Children,"[70, 140]"
Travis Allen,"[68, 362]"
City Journal,"[68, 136]"
Battleraddle,"[67, 336]"
Wendy Weiker,"[67, 334]"
Gavin Newsom,"[67, 333]"
David Chiu,"[67, 271]"
Connie M. Smith,"[67, 133]"
War Against Racism,"[66, 330]"
FEE,"[66, 131]"
Not My Fuhrer,"[65, 327]"
AARP Nevada,"[65, 130]"
Lewis County Republicans,"[64, 318]"
The Brookings Institution,"[63, 316]"
Parents' Rights in Education,"[63, 315]"
Joan Greene for Congress,"[63, 127]"
Michigan Leadership Committee,"[61, 304]"
GroundUp,"[60, 627]"
Alliance for a Better Minnesota,"[60, 596]"
The Arena,"[60, 301]"
Elect Ev Maroon,"[59, 298]"
Water Lifestyle Co.,"[59, 284]"
Dan Newhouse for Congress,"[59, 278]"
OpsLens,"[58, 397]"
Gentner Drummond,"[58, 116]"
Democratic African-American Women's Caucus of Florida,"[58, 116]"
HHJ Trial Attorneys,"[57, 286]"
Chicago Council on Global Affairs,"[57, 114]"
Patriot Powered Products,"[56, 1151]"
Jeff Jackson,"[55, 276]"
Anita For Arizona,"[55, 228]"
Dean Phillips for Congress,"[54, 159]"
National Committee to Preserve Social Security and Medicare,"[53, 271]"
Jamie Raebel for Coroner,"[53, 265]"
LevinTV,"[53, 131]"
Daryl Boling for PA State Representative,"[53, 106]"
We Can Solve This,"[52, 104]"
SoccerCity SD,"[52, 104]"
Blue Wave,"[51, 800]"
Your Forests Your Future,"[51, 256]"
Michigan Republican Party,"[51, 102]"
KNX 1070 NEWSRADIO,"[51, 102]"
Dave Dodson for Senate,"[50, 249]"
Shareblue Media,"[50, 177]"
Cathy McMorris Rodgers,"[50, 148]"
Darren Gantz for Assessor,"[50, 100]"
Clergy for a New Drug Policy,"[49, 261]"
Military Spouse,"[49, 244]"
Coloradans for Fairness,"[49, 241]"
Jess King for Congress,"[48, 241]"
David and Lucile Packard Foundation,"[48, 240]"
The Fighting Forces,"[47, 234]"
National Clean Energy Week,"[47, 233]"
POET,"[47, 93]"
New Yorkers Together,"[47, 93]"
Common Defense,"[46, 271]"
"Varghese & Associates, P.C.","[46, 231]"
Sean Patrick Maloney,"[46, 108]"
Red & Blue Life,"[46, 91]"
David Baria for Mississippi,"[45, 947]"
Monuments For All,"[45, 269]"
Ross van Dongen,"[45, 226]"
Federal Voting Assistance Program - FVAP,"[45, 226]"
Chris West,"[45, 91]"
VA Claim Pros,"[45, 90]"
Balance US,"[45, 90]"
Mikie Sherrill,"[44, 523]"
Not A Nuisance,"[44, 221]"
Anthony Bonna,"[44, 189]"
Protect Our National Parks,"[43, 301]"
South King County Deserves Better,"[43, 217]"
America Rise Up,"[43, 217]"
Linsey Fagan for Texas,"[43, 216]"
World Trade Center 9/11 Illness Information,"[43, 215]"
Conservative Daily,"[43, 213]"
Thad Gray,"[43, 87]"
American Friends Service Committee,"[42, 208]"
Healthy Choice For Nevada,"[42, 107]"
Mitene,"[42, 85]"
Young Americans for Liberty,"[42, 84]"
Home Media Consultants,"[42, 83]"
China US Focus,"[42, 83]"
Fight For Good,"[40, 743]"
Gino Filippi for Upland City Council,"[40, 199]"
Internet Forever,"[40, 192]"
Defend Birth Control,"[40, 159]"
30A,"[39, 573]"
iSideWith.com,"[39, 77]"
Co-ops Vote,"[38, 3188]"
Alliance San Diego Mobilization Fund,"[38, 192]"
We are mitú,"[37, 200]"
Justin Nelson,"[37, 186]"
Washington Community Action Network,"[37, 184]"
Jason Rittereiser for Congress,"[36, 252]"
Union Patriots,"[36, 182]"
The Climate Museum,"[36, 180]"
Kilili for Congress,"[36, 159]"
Riverside County Sheriff Stan Sniff,"[36, 116]"
Damon Martinez a Democrat for Congress,"[35, 174]"
Sharice for Congress,"[34, 2372]"
Jordan Chariton,"[34, 334]"
TruOcean,"[34, 174]"
Native American Rights Fund,"[34, 168]"
Know Colorado,"[34, 168]"
Comedy Central Stand-Up,"[34, 68]"
Prompt News,"[33, 170]"
Sludge,"[33, 166]"
Black & Proud 365,"[33, 165]"
George Franklin,"[33, 163]"
Dr. Josh Green for Lieutenant Governor,"[33, 74]"
Sloan for Arizona,"[32, 63]"
Donald Trump Is My President,"[31, 170]"
Adam Pollack For Circuit Judge,"[31, 158]"
Thrasher Coffee,"[31, 157]"
The Nation Magazine,"[31, 157]"
AFT - American Federation of Teachers,"[31, 157]"
Greg Lasak for District Attorney,"[31, 155]"
Great American Politics,"[31, 155]"
Scott Svonkin For Board of Equalization,"[31, 61]"
CRTV,"[30, 170]"
Republican Governors Association (RGA),"[30, 153]"
Media Matters for America,"[30, 152]"
Left AF,"[30, 150]"
Eric Brakey for U.S. Senate,"[30, 150]"
Grimnewsreaper,"[30, 148]"
Clear View Post,"[30, 61]"
SupChina,"[29, 212]"
Make HIM Great,"[29, 202]"
Colorado Values Project,"[29, 162]"
Andy Kim for Congress,"[29, 150]"
World Animal Protection USA,"[29, 148]"
Women Who Vote,"[29, 143]"
Safe Patient Limits Save Lives,"[29, 57]"
Jewish Leadership Conference,"[28, 221]"
SDSU WEST,"[28, 141]"
National Religious Campaign Against Torture,"[28, 141]"
Mary Ann Sullivan for IPS,"[28, 138]"
American Heart Association: You're the Cure,"[28, 138]"
Healthy Montana Campaign,"[27, 136]"
Cannabis News Update,"[27, 135]"
ACLU of Northern California,"[27, 135]"
Sanctuary Citizen,"[27, 133]"
Friends of Kerry - Candidate for State Representative CT's 29th District,"[27, 54]"
Outrider Foundation,"[26, 194]"
Keith Ellison for Attorney General,"[26, 155]"
The News and Why It Matters,"[26, 149]"
PIVOT - The Progressive Vietnamese American Organization,"[26, 132]"
Our Kids 1st - Our Schools Now,"[26, 132]"
SEIU California,"[26, 130]"
OD Action,"[26, 130]"
Margaret Busse,"[26, 128]"
Kathy Manning,"[26, 52]"
Capital Research Center,"[25, 150]"
John L Scott Sequim,"[25, 127]"
The Deplorable Deck,"[25, 123]"
Neta,"[25, 123]"
Mary Throne for Governor,"[25, 123]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[25, 87]"
NumbersUSA,"[25, 50]"
"California State University, Northridge","[25, 50]"
Mallory Hagan for Congress,"[24, 1498]"
Janet Mills,"[24, 139]"
National Center for Transgender Equality Action Fund,"[24, 122]"
Mainers for Accountable Leadership,"[24, 122]"
The Left Can Go Right,"[24, 120]"
The Pulse,"[24, 119]"
Chris J Cate,"[24, 49]"
Organization of Iranian American Communities - OIAC,"[24, 48]"
Tina Smith,"[23, 499]"
Support Our Schools,"[23, 227]"
The Libertee Company,"[23, 163]"
TrustedBest,"[23, 116]"
Mat Erpelding for Idaho,"[23, 116]"
Shirt Nazi,"[23, 113]"
OZY Future,"[22, 1746]"
Dan Kildee,"[22, 152]"
People's World,"[22, 134]"
Andrew Yang for President 2020,"[22, 134]"
Fatherly,"[22, 112]"
Bill Smethers for Sheriff,"[22, 112]"
Sargent Shriver Peace Institute,"[22, 111]"
David Holden 2018,"[22, 110]"
The GenZ Conservative,"[22, 108]"
Mindful Pup Parent,"[22, 108]"
Mike Levin,"[21, 427]"
E. O. Wilson Biodiversity Foundation,"[21, 135]"
Democratic Association of Secretaries of State,"[21, 126]"
Block Bronx Bolshevik,"[21, 106]"
Proxy.Vote,"[21, 104]"
Brent Nyberg for Oklahoma House District 82,"[21, 104]"
Marty Grohman for Congress,"[21, 59]"
Joe Neguse for Congress,"[21, 42]"
USA for UNHCR,"[20, 384]"
Dana Balter for Congress,"[20, 112]"
State Representative Travis Cummings,"[20, 109]"
Idiocracy News Media,"[20, 109]"
2atees1,"[20, 105]"
Tommy Gregory,"[20, 102]"
The Jim Jefferies Show,"[20, 102]"
Mottice For Sheriff,"[20, 102]"
Conservative Investor Daily,"[20, 101]"
Pete Olson for Congress,"[20, 100]"
Nolan Wentz for Yakima County Sheriff,"[20, 100]"
Save The Bees Project,"[20, 99]"
Robert Kesten for NYS Senate,"[20, 98]"
"Nick Josefowitz for Supervisor, San Francisco, District 2","[20, 98]"
ArtProfileratx,"[20, 98]"
Anti Tea Party MEMEs3,"[20, 98]"
Phil Lemley for State Representative,"[20, 86]"
Terry Hayes for Governor,"[20, 44]"
Factinate,"[19, 328]"
Tucker the Trucker,"[19, 97]"
"Rappin For A Reason,inc.","[19, 97]"
Energy In Depth,"[19, 97]"
Senator Kelli Stargel,"[19, 96]"
Trump News Today,"[19, 95]"
Organization for Competitive Markets,"[19, 93]"
Urban Intellectuals,"[19, 91]"
Aspiration,"[18, 139]"
Jeff Brandes,"[18, 107]"
National Popular Vote dot com,"[18, 92]"
Danny O'Connor for Congress,"[18, 92]"
Dr. Donna Campbell,"[18, 91]"
Bob Weiner,"[18, 90]"
Wild Horse Education,"[18, 89]"
The Principled Libertarian,"[18, 88]"
Kate Brophy McGee - State Senate,"[18, 73]"
Dru Kanuha for State Senate,"[18, 47]"
Mike Pence,"[17, 9739]"
Lebowski Lovers,"[17, 1109]"
NTD News,"[17, 1099]"
J Street,"[17, 87]"
Association of Young Americans,"[17, 87]"
Meraki Journey,"[17, 86]"
Harley Rouda,"[17, 85]"
Reunite Kids,"[17, 84]"
Private Briefing,"[17, 84]"
Virtual Strides,"[17, 83]"
The Resistance Report,"[17, 83]"
Tim Grayson for Assembly,"[17, 34]"
Christine Brown for Congress,"[17, 34]"
Boucher For CT,"[17, 33]"
Florida Democratic Party,"[16, 136]"
The Collective PAC,"[16, 108]"
Leadership Institute,"[16, 90]"
Judge David Farr,"[16, 82]"
America's Health Insurance Plans (AHIP),"[16, 82]"
Kyle M. Woodman,"[16, 81]"
The American Vision,"[16, 80]"
Omega Center for Sustainable Living (OCSL),"[16, 80]"
"The Piccone Law Firm, LLC","[16, 79]"
Armor Concepts,"[16, 79]"
Florida Policy Institute,"[16, 78]"
Change vs. More of the Same,"[16, 78]"
Your Energy,"[15, 439]"
Addicted to Golf,"[15, 131]"
2nd Amendment Rights,"[15, 91]"
Grabien,"[15, 83]"
Coastalteesfashion,"[15, 77]"
Women Rise,"[15, 76]"
Wellness.com,"[15, 76]"
The New Resistance,"[15, 76]"
The Federal Practice Group Worldwide Service,"[15, 76]"
DeliverFund,"[15, 76]"
Support Kasie’s Law,"[15, 75]"
Sapphire Lotus,"[15, 75]"
Red Pill Pundit,"[15, 75]"
Leslie Pico,"[15, 75]"
Defend Our Future,"[15, 75]"
Center For Progressive Urban Politics,"[15, 75]"
BackThe2,"[15, 75]"
American Senior Alliance,"[15, 75]"
Mad World News,"[15, 74]"
Jim Grego,"[15, 73]"
Emily Brewer,"[15, 31]"
Ivory Ella,"[15, 30]"
Idaho Coalition Against Sexual & Domestic Violence,"[15, 30]"
Ashleigh Aitken,"[15, 30]"
Bottlepops USA,"[14, 1090]"
Bird + Stone,"[14, 206]"
Kulkarni for Congress,"[14, 112]"
Topix Rewind,"[14, 107]"
Trade For America,"[14, 86]"
11 Bravos,"[14, 79]"
Fashionarchista,"[14, 72]"
Charles D. Greenwell For County Commissioner,"[14, 71]"
Window To Recovery,"[14, 70]"
USUnited,"[14, 70]"
Mary D. Wagner for HI State House Dist. 8,"[14, 70]"
Photobacks,"[14, 69]"
Pennsylvania Record,"[14, 69]"
Brock Obama,"[14, 69]"
UsAgainstAlzheimer’s,"[14, 68]"
Patient Freedom Coalition,"[14, 54]"
Julie Olson Clark County Councilor,"[14, 29]"
Kanew for Congress,"[13, 125]"
Eddie Zipperer,"[13, 83]"
Allie on CRTV,"[13, 80]"
Forward Thinking Politics,"[13, 70]"
"Trey Nick for Walton County Commissioner, District 4","[13, 67]"
The Devil We Know,"[13, 66]"
Campaign to Defend Local Solutions,"[13, 66]"
Death To Tyrants,"[13, 65]"
Nasty Woman Cosmetics,"[13, 64]"
The Giving Keys,"[13, 63]"
News Procession,"[13, 63]"
Michael Knowles,"[13, 63]"
Mendelson For Chairman,"[13, 63]"
IOOGO,"[13, 63]"
Aftab Pureval,"[13, 63]"
Jill Norgaard for AZ House,"[13, 33]"
Matavita - Save The Elephants,"[12, 160]"
Pursuit,"[12, 142]"
Becket,"[12, 72]"
Brazos Press,"[12, 62]"
Save the Turtles,"[12, 61]"
Kiss The Ground,"[12, 60]"
Goofy Old Paranoids,"[12, 60]"
Travel Funtu,"[12, 59]"
Tony Rackauckas,"[12, 59]"
Faith Johnson For District Attorney,"[12, 59]"
Bradley County Education Alliance,"[12, 59]"
Veteran Loan Benefits,"[12, 58]"
American Patriot,"[12, 58]"
Bill Schuette,"[12, 45]"
Tom Wolf,"[12, 28]"
Sam for Anchorage,"[12, 28]"
LifeDaily,"[11, 848]"
The Resistance,"[11, 257]"
Disrupt Aging,"[11, 104]"
Snake River Alliance,"[11, 57]"
Silkies,"[11, 57]"
Joy For Newport,"[11, 57]"
NTK Network,"[11, 56]"
Keith A. Rubino for NYS Assembly 118th District,"[11, 56]"
Vincent Buys,"[11, 55]"
Trump Ring,"[11, 55]"
My Shop Therapy,"[11, 55]"
Otto Radio,"[11, 54]"
Mayor Rich Tran,"[11, 54]"
Making Caring Common,"[11, 54]"
Gay Couples Institute,"[11, 54]"
Bobby Cleveland,"[11, 54]"
Black Central Station,"[11, 54]"
The Golden Mean,"[11, 53]"
Game Alert,"[11, 53]"
Charisse Millett for Alaska State House,"[11, 53]"
Louise Valentine for State Senate,"[11, 42]"
"Matt Brown, Democrat for Rhode Island Governor","[11, 30]"
Marsy's Law for Wisconsin,"[11, 22]"
22 Words,"[10, 3918]"
Zero Waste Produce Bags,"[10, 121]"
Al Lawson for Congress,"[10, 54]"
Family Policy Alliance,"[10, 53]"
Intelligence is sexy,"[10, 52]"
GUNVOTE,"[10, 52]"
Robert A. Espinosa,"[10, 51]"
Corey Stewart,"[10, 51]"
Tim Hugo,"[10, 50]"
Patients' Rights Action Fund,"[10, 50]"
Making America Great Again,"[10, 50]"
Tahirah Amatul-Wadud,"[10, 49]"
South Florida Wildlands Association,"[10, 49]"
FreedomWorks,"[10, 49]"
Amplification,"[10, 49]"
American Jobs & Growth PAC,"[10, 49]"
Stop Fed Ed National Campaign,"[10, 48]"
AARP Member Benefits,"[10, 48]"
theSkimm,"[10, 47]"
Lucy McBath for Congress,"[10, 46]"
North Cal Wire,"[10, 38]"
Bill Mathias Lake County School Board,"[10, 21]"
Mi Familia Vota,"[9, 53]"
Mike Collier,"[9, 50]"
Allan Kittleman,"[9, 47]"
Reclaim The American Dream,"[9, 46]"
Making Every Vote Count,"[9, 46]"
Brad Whaley for Skagit County Treasurer,"[9, 46]"
Trends Tee,"[9, 45]"
Sarah Fox for City Council,"[9, 45]"
Liquid,"[9, 45]"
Julia Brownley for Congress,"[9, 45]"
FREOPP,"[9, 45]"
Don't Slack,"[9, 45]"
Teamsters Joint Council 10,"[9, 44]"
Committee to Elect Larry Piegza,"[9, 44]"
VICELAND,"[9, 43]"
Imagine That,"[9, 43]"
Bill Holt's Dreamies,"[9, 43]"
Sevigny for Congress,"[9, 18]"
Philadelphians for a Fair Future,"[9, 18]"
Craig Giangrande for Maryland State Senate,"[9, 18]"
Robert Schwandt for Alvord School Board,"[9, 17]"
CANVAS Unplugged,"[8, 646]"
Fipple,"[8, 60]"
Michele D. Presnell,"[8, 42]"
Conservative Mexican,"[8, 42]"
Nick Autiello,"[8, 41]"
Maria Elaine Hadden,"[8, 41]"
Buffy Wicks,"[8, 41]"
Will Freeman,"[8, 40]"
SlutBox,"[8, 40]"
Kevin Walsh for Kyrene School Board,"[8, 39]"
Newell for Circuit Court,"[8, 38]"
Missouri House Victory Committee,"[8, 38]"
Global Reporter,"[8, 38]"
Cory Corson For Island Heights Council,"[8, 38]"
Committee to Elect Linda Leali for Circuit Court Judge,"[8, 38]"
Heather Carter,"[8, 37]"
New Direction PAC,"[8, 36]"
Color Of Change PAC,"[8, 28]"
Idaho Conservation League,"[8, 18]"
Senator Dave Valesky,"[8, 16]"
Andrew Wilkow,"[7, 147]"
Stand,"[7, 126]"
Environmental Voter Project,"[7, 69]"
Advance California,"[7, 58]"
Phil Mendiola-Long,"[7, 37]"
Learn to Lobby,"[7, 37]"
Recovery PAC,"[7, 36]"
Graveyard Shift,"[7, 36]"
Chris Winslow,"[7, 35]"
Californians for Eleni Kounalakis for Lt. Governor,"[7, 35]"
Liberty Nation,"[7, 34]"
Darrin Camilleri,"[7, 34]"
Aaron Lieberman for Arizona,"[7, 34]"
Raising Tomorrow,"[7, 33]"
Garden State CARES,"[7, 33]"
ACLU of Southern California,"[7, 29]"
Ohio AFL CIO,"[7, 18]"
Stand for Children - Colorado,"[7, 15]"
New Baptist Covenant,"[7, 14]"
Chuck Brannan for State Representative,"[7, 14]"
Republican Party of Kentucky - Official Page,"[7, 13]"
Jim Fredericks for Sheriff,"[6, 34]"
Leila Counts for TUSD,"[6, 33]"
Primarily Primates,"[6, 32]"
Antonio Sabato Jr,"[6, 32]"
LaunchGood,"[6, 31]"
Build CT,"[6, 31]"
Central City News,"[6, 30]"
The Power of Zero by David McKnight,"[6, 29]"
Ray Leonard,"[6, 29]"
Melissa Gravitt for Judge,"[6, 29]"
Dr. Robert Jeffress,"[6, 29]"
Allison Gilman For Judge,"[6, 28]"
BRIDGE,"[6, 27]"
Everytown for Lucy McBath,"[6, 24]"
CD1 Alliance,"[6, 17]"
SoCal Health Care Coalition,"[6, 13]"
SEIU MN State Council,"[6, 13]"
Antonio Delgado,"[6, 13]"
Vote Kern for Arizona LD 20,"[6, 12]"
SEIU 775,"[6, 12]"
Progress NC Votes,"[6, 11]"
Beth Liston for Ohio,"[6, 11]"
Adrian Plank for the 47th,"[6, 11]"
UPolitics,"[5, 41]"
Mayor Matt Hall,"[5, 39]"
Al Muratsuchi for Assembly,"[5, 39]"
G.I. Jobs Magazine,"[5, 27]"
"Global Innovations Coterie, LLC","[5, 26]"
Kasey Reynolds for Chico City Council,"[5, 25]"
Idaho Freedom Action,"[5, 25]"
Wheatland Electric,"[5, 24]"
State of Great MN,"[5, 24]"
EdSurge,"[5, 24]"
Brian Lohse for Iowa House,"[5, 24]"
North Dallas Texas Democratic Women,"[5, 10]"
Mark Millan for Town Council,"[5, 10]"
Jake Highfill,"[5, 10]"
Ja'Mal Green,"[5, 10]"
Commissioner Beverly Nicholson-Doty,"[5, 10]"
Josh Gottheimer for Congress,"[4, 517]"
Milo Schwab for Colorado,"[4, 25]"
TrumpStarSticker,"[4, 22]"
Store,"[4, 22]"
Showtime Documentary Films,"[4, 22]"
Lesley for CU Regent,"[4, 22]"
James Linwood Schulman for Florida House,"[4, 22]"
WORLD FAMOUS V.I.P. RECORDS IN LONG BEACH,"[4, 21]"
"The Law Office of Robert C Dominguez, P.A.","[4, 21]"
The Barrett Brigade,"[4, 21]"
Regence BlueShield of Idaho,"[4, 21]"
"President Joe Shirley, Jr.","[4, 21]"
Naturally Fit Inc,"[4, 21]"
Gregorio Kilili Camacho Sablan,"[4, 21]"
Housing For Everyone,"[4, 20]"
Brandy Brooks for Montgomery County - MD,"[4, 20]"
Ben McAdams,"[4, 20]"
iAmerica Action,"[4, 19]"
Scott Schmidt Running For Assembly District 7,"[4, 19]"
Nick DiCeglie,"[4, 19]"
Lower Merion Ward 5,"[4, 19]"
California Freedom & Prosperity Fund,"[4, 19]"
Angie Chen Button for Texas,"[4, 19]"
My America,"[4, 18]"
Cort VanOstran for Congress,"[4, 18]"
BLeBRiTY,"[4, 18]"
Nick Guy,"[4, 16]"
Chris Wilhelm for County Council,"[4, 16]"
Linda Koop,"[4, 11]"
Joshua Svaty,"[4, 9]"
Dave Hencratt for Sheriff of Tehama County,"[4, 9]"
Vote Jen Plumb,"[4, 7]"
Josh Harder,"[3, 40]"
Dan Kohl,"[3, 39]"
Gary Siegwarth for IA Governor,"[3, 38]"
Reason To Believe,"[3, 23]"
Martin Tully for DuPage County Board - District 3,"[3, 23]"
Vincent for Boston,"[3, 17]"
SOS International,"[3, 17]"
Ken Summers for State Representative,"[3, 17]"
Bryce for NV State Senate,"[3, 17]"
Vote for Vicki Campaign,"[3, 16]"
Vance Aloupis for State Representative,"[3, 16]"
SameSide,"[3, 16]"
Karen Katz For Judge,"[3, 16]"
Ginger Garner for NC Senate,"[3, 16]"
Florida Daily,"[3, 16]"
Andy Fleischmann,"[3, 16]"
Acchildcarecrisis,"[3, 16]"
National Committee on U.S.-China Relations,"[3, 15]"
Matt Nye,"[3, 15]"
Jennifer Jermaine for AZ LD18 House,"[3, 15]"
Jason Anderson for District Attorney,"[3, 15]"
Get Smart Nevada,"[3, 15]"
Brian Harrington for Laramie City Council Ward 1,"[3, 15]"
Wesley Bell for St. Louis County Prosecutor - Democrat,"[3, 14]"
Trey Caldwell,"[3, 14]"
Tish James,"[3, 14]"
Save San Diego Neighborhoods,"[3, 14]"
