Morgan County Georgia Democrats,"[1000, 4999]"
Lisa Ring for Congress,"[1000, 4999]"
Environmental Voter Project,"[1000, 4999]"
Danielle Forté for Clerk of Superior Court,"[1000, 4999]"
Dagen For Senate,"[1000, 4999]"
Chuck Eaton,"[1000, 4999]"
Brett Harrell,"[1000, 4999]"
Blue State,"[1000, 4999]"
Better With Age,"[1000, 4999]"
"The Urbina Law Firm, LLC","[997, 4985]"
Nine Line Apparel,"[917, 6631]"
Clila- Coalición De Líderes Latinos,"[909, 6359]"
Donald J. Trump,"[862, 20695]"
Whiteside for Richmond County Board of Ed,"[855, 6270]"
Penzeys Spices,"[837, 1675]"
Judge Bob Vance for Chief Justice,"[824, 4120]"
2atees1,"[457, 2283]"
American Financial Advisory For A Better Future,"[436, 2182]"
"Red, White, and F You: Unapologetically Patriotic","[420, 2100]"
Concealed Online,"[414, 1788]"
United States Constitution,"[356, 1778]"
National Republican Congressional Committee,"[310, 3331]"
People United for Privacy,"[276, 1378]"
American AF,"[261, 1304]"
Soraya Diase Coffelt for Gov.,"[232, 464]"
Kirsten Gillibrand,"[222, 521]"
Our Children's Trust,"[184, 922]"
Political Storm,"[172, 860]"
Airline Passengers for Justice,"[131, 261]"
Finance Watchdogs,"[110, 629]"
Elect Bradford,"[110, 552]"
The Nib,"[109, 219]"
PathWater,"[108, 539]"
NC House Republicans,"[98, 413]"
Joe Radinovich,"[83, 166]"
Regina Lewis-Ward,"[78, 1462]"
VoteTogether,"[64, 408]"
Bob Ballinger for Arkansas State Senate,"[61, 306]"
Discovery Institute,"[44, 218]"
I Love My Freedom,"[42, 208]"
Capital Research Center,"[41, 203]"
Energy Citizens,"[40, 202]"
Swing Left,"[37, 358]"
Voters In Charge,"[37, 75]"
Louder with Crowder,"[36, 205]"
Turning Point USA,"[35, 173]"
MoveOn,"[33, 4537]"
End Citizens United,"[31, 176]"
Mindfulness Together,"[31, 154]"
Ryan Hampton,"[30, 152]"
Blue Wave,"[26, 177]"
dittymoji,"[26, 152]"
Your Trump Shop,"[26, 132]"
Democrats,"[25, 95]"
Human Rights Campaign,"[24, 119]"
Sand Cloud,"[23, 1112]"
Politicon,"[22, 252]"
Beto O'Rourke,"[20, 101]"
Kyrsten Sinema,"[19, 221]"
Planned Parenthood Action,"[17, 84]"
Tom Steyer,"[16, 1395]"
Anna For Florida,"[13, 67]"
Joy Stanford,"[11, 57]"
MJ for Texas,"[10, 50]"
Adam Schiff,"[10, 48]"
Priorities USA Action,"[8, 43]"
Joel Abelove for District Attorney,"[8, 42]"
"Steve O'Dorisio, Adams County Commissioner","[7, 37]"
Mallory Hagan for Congress,"[6, 70]"
Dave Yost,"[6, 36]"
Tina Davis for State Senate,"[6, 31]"
Jason Haeseler For Florida House,"[5, 25]"
Frank LaRose,"[5, 25]"
Congressional Leadership Fund,"[5, 25]"
Angie Chen Button for Texas,"[5, 24]"
Jennifer Webb,"[3, 13]"
Protect CA Health Care,"[2, 10]"
Danny Mackey for Howard County Board of Education,"[2, 5]"
FloridaPolitics,"[1, 5]"
Democratic Party,"[0, 69025]"
MedicareSupplement.com,"[0, 14985]"
Zahra Karinshak,"[0, 9990]"
Flip Wilkes County,"[0, 9990]"
Matthew for Georgia HD80,"[0, 4995]"
Georgia's WINning Women,"[0, 3996]"
Bill Lightle for Georgia Senate District 16,"[0, 3996]"
Democratic Coalition Against Trump,"[0, 2997]"
Askov Finlayson,"[0, 2095]"
Vote Terry Rogers,"[0, 1998]"
Josh McCall - McCall for All,"[0, 1998]"
Decatur Prevention Initiative,"[0, 1998]"
Co-ops Vote,"[0, 1998]"
Charlie Bailey,"[0, 1998]"
Ocean Conservancy,"[0, 1525]"
Pocket Your Dollars,"[0, 1087]"
Write-In Joseph Pond 4 District 3,"[0, 999]"
Winning For Women,"[0, 999]"
Village Creek Boat Ramp,"[0, 999]"
Small Town Podcast,"[0, 999]"
Rep. Sam Park,"[0, 999]"
PragerU,"[0, 999]"
John Noel - New Energy Guy,"[0, 999]"
Jeff Jones,"[0, 999]"
Georgia Right to Life,"[0, 999]"
Donna McLeod,"[0, 999]"
City of Jesup - City Hall,"[0, 999]"
Andy Clark for State Senate,"[0, 999]"
New Georgia Project,"[0, 988]"
Indivisible Guide,"[0, 695]"
Headline Shirts,"[0, 500]"
David Baria for Mississippi,"[0, 457]"
Be Conscious. Be Kind.,"[0, 333]"
Framed Tweets,"[0, 262]"
Definition.org,"[0, 250]"
Exclusive Apparel,"[0, 219]"
Mercy For Animals,"[0, 200]"
No Kid Hungry,"[0, 177]"
Mitch McConnell,"[0, 143]"
Making Every Vote Count,"[0, 141]"
Science for Humans and Freedom Institute,"[0, 128]"
