Pfizer,"[3, 100]"
Vote for Vicki Campaign,"[3, 16]"
SEIU California,"[3, 13]"
Sierra Club,"[2, 1010]"
Ric Vandett for NC Senate,"[2, 12]"
Full Voter Participation Act,"[2, 8]"
James Futrell - Madison County Board,"[2, 4]"
Linda Bennett,"[1, 7]"
Save Your Home Now,"[1, 6]"
Republican Committee of Lancaster County,"[1, 6]"
Joel Abelove for District Attorney,"[1, 4]"
Human Rights Campaign,"[1, 4]"
Enfield Republican Town Committee,"[1, 3]"
Answer Coalition,"[1, 3]"
Democratic Party,"[0, 40994]"
Ryan C. Johnson For Gresham City Council position  4,"[0, 2997]"
Friends of Judge Fay Stetz-Waters,"[0, 2997]"
Christine Lewis for Metro,"[0, 2997]"
Dorothy Merritt,"[0, 2994]"
MoveOn,"[0, 2872]"
The Kodel Party,"[0, 1998]"
Teri Grier for Oregon,"[0, 1998]"
Oregon Wildlands,"[0, 1998]"
Elect Jim Herndon Medford City Council Ward 2,"[0, 1998]"
Andrew Davis for Bend City Council,"[0, 1998]"
Jo Ann Hardesty for Portland City Council,"[0, 1994]"
National Domestic Workers Alliance,"[0, 1575]"
Environmental Defense Fund,"[0, 1552]"
SEIU Local 49,"[0, 999]"
Queer Eugene News,"[0, 999]"
PSU College of Urban and Public Affairs,"[0, 999]"
Gary Williams for Lane County Commissioner,"[0, 999]"
Darren for Fairview,"[0, 999]"
Keep Oregon's Promise,"[0, 867]"
Askov Finlayson,"[0, 821]"
Oregon Executive Club,"[0, 803]"
Forest Fire Facts,"[0, 649]"
David Baria for Mississippi,"[0, 550]"
Save Idaho Horse Racing,"[0, 400]"
Alliance for a Better Minnesota,"[0, 336]"
Mercy Corps,"[0, 276]"
USA for UNHCR,"[0, 270]"
WhyHunger,"[0, 268]"
Stand Up America,"[0, 250]"
Greenpeace USA,"[0, 208]"
Crider For Sheriff,"[0, 191]"
EMILY's List,"[0, 185]"
Nancy Soderberg for FL Congress District 6,"[0, 152]"
Science for Humans and Freedom Institute,"[0, 127]"
In the Woods with Phil,"[0, 125]"
Tammy Baldwin,"[0, 114]"
Power In Cooperation,"[0, 112]"
Planned Parenthood Action,"[0, 105]"
PathWater,"[0, 102]"
Phil Bredesen,"[0, 91]"
No Kid Hungry,"[0, 87]"
Notorious Rbg - Protect Women Power,"[0, 61]"
Jay Inslee,"[0, 54]"
Save the Redwoods League,"[0, 53]"
Human Coalition,"[0, 46]"
PCCC - BoldProgressives.org,"[0, 43]"
Monuments For All,"[0, 42]"
Pursuit,"[0, 41]"
Justice Democrats,"[0, 40]"
CARE,"[0, 38]"
Parks Project,"[0, 36]"
Mercy For Animals,"[0, 36]"
Ro Khanna,"[0, 35]"
Chris Pappas for Congress,"[0, 32]"
Adam Schiff,"[0, 29]"
Save the Children Action Network,"[0, 28]"
Giving Brush,"[0, 26]"
DiversityInc,"[0, 26]"
Capital Research Center,"[0, 26]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 25]"
Finance Watchdogs,"[0, 25]"
American Jewish World Service - AJWS,"[0, 25]"
Rooted in Rights,"[0, 23]"
Proud Right Winger,"[0, 22]"
National Network of Abortion Funds,"[0, 22]"
Kialo,"[0, 22]"
Fipple,"[0, 22]"
Time To Vote On Climate,"[0, 21]"
Joe Kennedy III,"[0, 21]"
Divided We Stand,"[0, 20]"
The Common Tarry by lloyd wold,"[0, 19]"
Nine Line Apparel,"[0, 19]"
Armed American Supply,"[0, 19]"
Priorities USA Action,"[0, 17]"
Definition.org,"[0, 15]"
Scamazon,"[0, 14]"
Mayor Matt Hall,"[0, 14]"
Lupe Valdez,"[0, 13]"
Patriot Depot,"[0, 12]"
Yes to Affordable Groceries,"[0, 11]"
War On Our Future,"[0, 11]"
United Way of Greater New Haven,"[0, 11]"
Highlands County Republican Party,"[0, 11]"
Rant Nation with Graham Allen,"[0, 10]"
Laura Kelly,"[0, 9]"
Animal Matters,"[0, 9]"
Tina Smith,"[0, 8]"
Premium Care For Seniors,"[0, 8]"
Campbell For NC Senate,"[0, 8]"
CRTV Tonight with Gavin McInnes,"[0, 6]"
Gayle Kemp for State House,"[0, 5]"
Dave Yost,"[0, 5]"
Andy Kim for Congress,"[0, 5]"
"Rebecca Cranston for Colorado, Senate District 15","[0, 4]"
Jennifer Benson for NC House,"[0, 3]"
Ginger Garner for NC Senate,"[0, 2]"
Corazon Coqui,"[0, 0]"
