Scientology Volunteer Ministers International,6892
Georgia Equality,6873
Misha Collins,6723
and Authorized by  Andrew Janz for Congress.,6674
Friends of Bernie Sanders,6644
When We All Vote,6522
MoveOn.org Civic Action.,6302
2A4LIFELLC,6287
SweetGrass Capital, A MIdland Mortgage Corporation Company NMLS 66708,6217
The Democratic Coalition,6153
#VoteTogether,6064
the Libertarian Party of Georgia,6000
Savannah Regional Central Labor Council,6000
North Metro Republican Women,6000
Newton County Democratic Committee,6000
National Wildlife Federation Action Fund,6000
Jan Jones,6000
GALEO,6000
Friends of Beth Moore, LLC,6000
Elect Leonard Amundson,6000
Elect Chris Benton,6000
Dede Durrett Rowland,6000
Committee to Elect Matthew Krull,6000
Jef Fincher Admin Melvin for Georgia,5987
Robert Grant for School Board,5950
FreightWaves,5849
Defending Donald,5848
Diversity Incorporated ,5779
End Citizens United,5541
Circa,5499
OZY Media,5348
Gillibrand for Senate,5188
CHC BOLD PAC,5160
Beto for Texas,5077
the DSCC,5008
Political Rascals PAC, Inc.,5000
PEDS,5000
Georgia's WIN List,5000
Georgia Animal Rights and Protection,5000
Friends to Elect Eaddy Sams,5000
A Concerned Private Citizen,5000
The Urbina Law Firm, LLC,4996
Giffords PAC.,4990
OAF Nation, Inc,4867
Sharise V. Riley, Democrat, for City Council District 7,4845
Nine Line Apparel,4830
NRDC,4666
CLILA-Coalicion de Lideres Latinos- Latino Leaders Coalition,4616
The Committee to Defend The President,4456
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,4433
Your Trump Shop,4412
NARAL Pro-Choice America,4280
Pfizer,4267
Union of Concerned Scientists,4242
Kevin McCarthy for Congress,4047
CARE,4032
Supporters of Rudy Underwood,4000
Dean4BoE,4000
Citizens for a Better Newton,4000
Cansino Blanchette Law Firm, LLC,4000
Campaign to Elect Marisue Hilliard for Georgia State Senate District 46,4000
Goodwill Southeast Georgia,3904
Lisa Barclay Fountain for Circuit Judge, Second Circuit, Group 12,3876
Turning Point USA,3531
Main Street Investors Coalition,3458
Real Justice PAC and not authorized by any candidate or candidate's committee.,3384
Philip Levine, Democrat, for Governor,3376
I Love My Freedom,3360
the National Democratic Redistricting Committee,3337
LifeZette Inc.,3319
The Poor People's Campaign: A National Call for Moral Revival,3239
Young America's Foundation,3165
Charlie Kirk,3038
FreedomWorks,3030
United Tea Party of Georgia,3000
Sandy Workman for Georgia State Senate,3000
Sam for Georgia, Inc,3000
Michael C. Owens,3000
Melanie Whitfield For State House,3000
Martin for Georgia,3000
Hall County Democrats,3000
Habersham County Democratic Committee,3000
Georgia First Amendment Foundation,3000
Dan Matthews for Watkinsville City Council,3000
Committee to Elect Audrey Gibbons ,3000
Cherokee County Republican Party,3000
14th Congressional District Republican Party of Georgia - not authorized by any candidate or candidate's committee,2983
Boxed Water is Better,2863
Lee A. Shiver,2858
Anthem Foundation,2742
The Nib,2739
Student Loans News for Certified Enrollment Center,2668
Greenpeace USA,2655
The Hill,2648
Jimbo Stephens Campaign Committee.,2614
Dinesh D'Souza,2586
Bigger Pie Forum,2562
Stennis Center for Public Service,2553
Proud Right Winger,2539
Jeff Merkley for Oregon,2522
DrugJustice,2515
Captains for Clean Water,2501
Restoration PAC,2477
Mallory Hagan for Congress,2430
Rustic Edge Marketing,2429
NRATV,2420
JVMI,2405
Webinar Technologies,2382
Friends of Melody Shekari,2353
Hoover Institution,2328
Ammar Campa-Najjar for Congress.,2266
Media Research Center,2251
The Brookings Institution,2207
the Committee to Elect Michael Henry,2193
Right Wing News ,2192
TYT Network,2191
Marsha for Senate,2109
SFT2 Tactical Supply,2107
SEIU Faculty Forward,2092
Cobb County Coalition,2076
National Rural Electric Association,2017
Hillsdale College,2016
Wynn For Georgia,2000
The Committee to Elect Alana Watkins,2000
Small Town Podcast,2000
Reid Jones,2000
North Metro Young Republicans,2000
Greg Palast,2000
Friends of Jen, Inc.,2000
FRIENDS OF BARDIN HOOKS, INC.,2000
Committee to Elect Valerie Haskins,2000
Committee to Elect Michael Smith,2000
Committee for Jasmine Clark for Georgia House,2000
Cobb Young Republicans,2000
Citizens to Elect Tony Grant Sheriff of Coweta County,2000
Chuck Eaton for Public Service Commission,2000
Center for Victims of Torture,2000
Cartersville UNCUT AD LLC,2000
Better Georgia ,2000
Barrow for Georgia,2000
Angelika for Georgia,2000
Advocacy For Action,2000
"Lenny for Sheriff",2000
Bill Meredith, member-owner Grady EMC, Member - Take Back Our Grady EMC, Founder/Fund Manager - The Meredith FX Fund,1995
Trey Kelley for State House,1982
Patriotic Drop Shop,1967
Heidi for North Dakota,1958
C-SPAN,1866
Salem Media Group,1840
theSkimm,1829
Zya, Inc. ,1790
the ASPCA,1773
American Steel Kings,1773
ConocoPhillips Company,1669
Sean Carrigan for Congress,1657
Consumer Alert Services,1630
National Partnership for Women & Families,1629
We Are The Mighty,1625
Independent Women's Forum,1581
Joann,1574
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,1534
Freedom Action Network of South Carolina,1506
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,1503
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,1493
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,1493
Young Invincibles,1444
Boredom Therapy LLC,1403
John Wolfe for U.S. Senate,1350
Faith in Public Life,1336
KATIE ARRINGTON FOR CONGRESS,1315
National Education Association,1311
National Savings Programs,1295
Association for Accessible Medicines,1289
Oceana,1254
Environmental Defense Fund,1184
Patty Murray for Senate,1180
Everytown for Gun Safety Support Fund,1172
Penzeys,1168
Adam Jortner for Alabama Board of Education,1164
Goods Unite Us, Inc.,1124
ATTN:,1100
Abdul El-Sayed for Michigan,1062
Remezcla,1061
FirstQuoteHealth,1060
Human Coalition,1055
the Physicians Committee for Responsible Medicine,1036
the National Network of Abortion Funds,1036
Friends of Wesley Bell, Stephanie Hughes, Treasurer,1001
Whitfield County Democratic Party,1000
The Campaign to Elect Josh McCall,1000
Southern Alliance for Clean Energy.,1000
Shea Roberts for Georgia, Inc.,1000
Rudy Underwood,1000
Roots Seeds & Branches,1000
Paul Guillaume for Newnan,1000
Paid for by The Committee to Elect Otha Thornton,1000
PIVOT - The Progressive Vietnamese American Organization,1000
Muscogee County Democratic Committee,1000
Michael Bittick For Sheriff,1000
Michael Bittick,1000
Metro Atlanta Democratic Socialists of America,1000
Kipper Tabb for State House,1000
Godha Manogna,1000
Georgia Agribusiness Council,1000
Friends of Kay Kirkpatrick,1000
Friends of Heath Clark,1000
Friends of Beth Moore LLC,1000
Fayette County Democratic Committe,1000
Dawn Johnson for Georgia State Senate District 47,1000
David Dreyer Campaign Committee,1000
Common Cause Georgia,1000
Committee to Elect Zach Procter,1000
Committee to Elect Sally Harrell,1000
Chuck Studebaker for Gwinnett County School Board District 4,1000
CNY Fertility,1000
Bluetopsy Political Podcast,1000
Atlanta Film Chat,1000
Ashleigh N. Croft,1000
Angelika Kausche for Georgia,1000
American Senior Alliance,1000
Homes For Our Troops ,997
Indivisible Lumpkin,996
Redneck Nation,985
Rich Shumate,981
Winfield For Congress,975
Rosen for Nevada,969
Military Officers Association of America (MOAA),967
The Campaign to Elect Twitty Titus,961
Horizon PAC,954
Ocean Conservancy,953
Conservative Tribune,949
Political Novelties, LLC,943
EMILY's List,922
Al Lawson For Congress ,899
Clarion Project,893
Good Media Group,891
Stand Up America,888
the League of Women Voters,875
Paid for by Be a Hero PAC,867
The Committee to elect Lisa Ring,862
Diversity Incorporated,861
Paramount Network,858
Greater Half,851
ASMDSS, Inc,839
Lead the Change Now,818
Elect Jenny Hill, Craig Kellogg Treasurer,816
Cathy for Congress,808
the Committee to Elect Ayanna Pressley,781
Committee to Elect Yusuf Hakeem, Gerald Mason, Treasurer,748
LGBTQ Victory Fund ,745
Mercy For Animals,744
Topic,743
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,710
Ben Swann,684
Reform Austin, Inc. ,681
2atees1,672
the Democratic Governors Association.,666
The Palestine Institute for Public Diplomacy,642
Adam Schiff for Congress,642
O’Connor for Congress,630
Kimberly-Carr Home Designs,630
MJ for Texas,617
Maloney for New York,614
Proud American Hunter,605
Better Medicare Alliance,575
Vulcan Inc.,568
The Innocence Project,567
Smoky Mountain Values PAC,565
World Food Program USA,557
Abortion On Our Own Terms,557
Armed American Supply,556
the Democratic National Committee,553
Alexandria Ocasio-Cortez 2018,544
Arthur Winter,541
USA For Trump,511
GLAAD,507
The Arc,500
Freedom Builders,497
Tennessee Immigrant & Refugee Rights Coalition,495
Save the Children US,495
Giving Brush LLC,490
The Years Project,484
Committee to Elect Charlie Susano, T. Dean LaRue Treasurer,481
With Honor Fund, Inc.,471
Amnesty International USA,471
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,459
factboxdottv an independent news and opinion organization,456
Science for Humans and Freedom Institute,452
Porter for Congress,448
Ohio AFL CIO,447
Strasson Group,443
Yellowhammer Fund,434
Aftab for Ohio,430
Political advertisement paid for by the campaign to elect Debbie Wood  3011 20th Avenue Valley, Al. 36854,420
Donald J. Trump - 45th President of the United States,414
McCaskill for Missouri,413
America's Future Foundation,413
Kialo,407
International Rescue Committee,403
National Automobile Dealers Association,401
Majority Forward. Not authorized by any candidate or candidate’s committee.,399
Kimberlin Brown Pelzer For Congress,399
Chris Gulley 119 Olcott Ave Bridgeport AL 35740,398
Sinclair Broadcast Group,396
Freedom Watch, Inc.,394
National Audubon Society,391
Fuel Freedom Foundation,388
Defenders of Wildlife,385
Trifecta Shirts,381
Affordable Housing for All, Yes on D,380
Family Policy Alliance,379
Addicted to Golf,376
Families For Trump,375
UltimateStraw,372
National Secure Storage LLC,371
Emerson College Polling,369
Yale Program on Climate Change Communication,366
Medals of America,366
C Johnson,366
Animal Matters,366
Texans for Natural Gas,363
Sullo & Sullo Attorneys at Law,363
Inequality Media,362
Marsy’s Law for North Carolina, L.L.C.,361
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,358
Right Call Media LLC,358
Big Lie LLC,357
Random House,354
American Center for Law and Justice,353
No Kid Hungry,351
Tee Shirt Palace,348
